layer,L,T,log_L,log_T,alpha_true,c_true
0,10.0,104.67682513403169,1.0,2.0198505419418535,2.0,1.0
0,10.0,85.5561230081252,1.0,1.9322510962089001,2.0,1.0
0,10.0,111.91479975822082,1.0,2.048887521991466,2.0,1.0
0,10.0,115.15221863715949,1.0,2.0612723099302404,2.0,1.0
0,10.0,74.62793550503737,1.0,1.8729014275352853,2.0,1.0
0,10.0,82.25656959562016,1.0,1.9151705938583297,2.0,1.0
0,10.0,101.93611020195314,1.0,2.008328057248976,2.0,1.0
0,10.0,95.36711353193836,1.0,1.9793986380803603,2.0,1.0
0,10.0,99.7482999345869,1.0,1.998905502500945,2.0,1.0
0,10.0,87.98915751690485,1.0,1.9444291594150576,2.0,1.0
0,10.0,114.10052775359685,1.0,2.057287653181973,2.0,1.0
0,10.0,112.37471720986503,1.0,2.050668611843846,2.0,1.0
0,10.0,100.99538175747062,1.0,2.0043015151380588,2.0,1.0
0,10.0,118.42221920326487,1.0,2.073433195394027,2.0,1.0
0,10.0,107.26437562913884,1.0,2.0304555091367424,2.0,1.0
0,10.0,87.90672565018002,1.0,1.9440221037543133,2.0,1.0
0,10.0,105.6870959512948,1.0,2.024021964608679,2.0,1.0
0,10.0,86.60328915603866,1.0,1.9375343866500392,2.0,1.0
0,10.0,114.08430939842806,1.0,2.0572259177725996,2.0,1.0
0,10.0,99.25390851941353,1.0,1.9967476178532015,2.0,1.0
0,10.0,97.26515749224987,1.0,1.9879572943401052,2.0,1.0
0,10.0,90.29036495365004,1.0,1.955641408445071,2.0,1.0
0,10.0,120.12722467538595,1.0,2.079641443592712,2.0,1.0
0,10.0,97.7087156809904,1.0,1.9899333047969228,2.0,1.0
0,10.0,93.77713028233326,1.0,1.972096938558339,2.0,1.0
0,10.0,94.8550705351858,1.0,1.9770605513194943,2.0,1.0
0,10.0,108.312066355015,1.0,2.034676841292835,2.0,1.0
0,10.0,105.63468730929631,1.0,2.0238065510896424,2.0,1.0
0,10.0,106.38664772510951,1.0,2.0268871243576485,2.0,1.0
0,10.0,106.6756941754424,1.0,2.028065477644152,2.0,1.0
0,10.0,137.88463070448248,1.0,2.139515860285907,2.0,1.0
0,10.0,94.08587542113443,1.0,1.9735244301532313,2.0,1.0
0,10.0,92.60413329095,1.0,1.9666303714053752,2.0,1.0
0,10.0,88.50900309713788,1.0,1.946987449189789,2.0,1.0
0,10.0,109.68000703272097,1.0,2.0401274696285734,2.0,1.0
0,10.0,118.45297304838051,1.0,2.073545965542552,2.0,1.0
0,10.0,98.30531229389385,1.0,1.9925769871870376,2.0,1.0
0,10.0,88.15941541642593,1.0,1.9452687017179846,2.0,1.0
0,10.0,88.36694758541239,1.0,1.9462898536388615,2.0,1.0
0,10.0,110.25094703335867,1.0,2.042382328657748,2.0,1.0
0,10.0,111.79404691444216,1.0,2.0484186777807842,2.0,1.0
0,10.0,108.48840774729744,1.0,2.035383335232072,2.0,1.0
0,10.0,90.49944606829132,1.0,1.9566459209707208,2.0,1.0
0,10.0,103.54376612625578,1.0,2.0151239572278854,2.0,1.0
0,10.0,101.76569442173154,1.0,2.007601400453935,2.0,1.0
0,10.0,103.33472490029385,1.0,2.0142462876221865,2.0,1.0
0,10.0,113.96421580602505,1.0,2.056768506445189,2.0,1.0
0,10.0,103.41081167938275,1.0,2.014565946951646,2.0,1.0
0,10.0,110.7203021087362,1.0,2.0442272621197097,2.0,1.0
0,10.0,101.01884124375664,1.0,2.004402382545677,2.0,1.0
0,13.949507939624207,203.21334317984204,1.144558888407109,2.3079522207335548,2.0,1.0
0,13.949507939624207,213.91563383515484,1.144558888407109,2.3302425257600436,2.0,1.0
0,13.949507939624207,156.38408991050366,1.144558888407109,2.194192567038739,2.0,1.0
0,13.949507939624207,185.47828005624388,1.144558888407109,2.268293060021126,2.0,1.0
0,13.949507939624207,181.33253776560358,1.144558888407109,2.258475739584586,2.0,1.0
0,13.949507939624207,176.80665515307027,1.144558888407109,2.247498608198872,2.0,1.0
0,13.949507939624207,186.72130009440448,1.144558888407109,2.27119386259729,2.0,1.0
0,13.949507939624207,243.50309810980283,1.144558888407109,2.386504491149964,2.0,1.0
0,13.949507939624207,170.88892800821944,1.144558888407109,2.232713925443361,2.0,1.0
0,13.949507939624207,225.0067095965275,1.144558888407109,2.352195468766034,2.0,1.0
0,13.949507939624207,151.17800797378177,1.144558888407109,2.179488618478038,2.0,1.0
0,13.949507939624207,185.0554878631169,1.144558888407109,2.267301968724994,2.0,1.0
