step,kappa,layer,alpha_true,alpha_obs,direction,history_factor
0,0.1,0,2.0185410398790764,2.0200646252778487,up,0.15
0,0.1,1,2.048541039879076,2.0433411193478737,up,0.15
0,0.1,2,2.0785410398790765,2.0822932958581086,up,0.15
0,0.1,3,2.1085410398790763,2.113243863461032,up,0.15
1,0.14210526315789473,0,2.0365507868882413,2.0267956109449723,up,0.27749999999999997
1,0.14210526315789473,1,2.066550786888241,2.0600398893539293,up,0.27749999999999997
1,0.14210526315789473,2,2.0965507868882414,2.097189988904078,up,0.27749999999999997
1,0.14210526315789473,3,2.126550786888241,2.1249695739265233,up,0.27749999999999997
2,0.1842105263157895,0,2.0646789074699194,2.064594901682398,up,0.38587499999999997
2,0.1842105263157895,1,2.0946789074699192,2.090413687832051,up,0.38587499999999997
2,0.1842105263157895,2,2.1246789074699195,2.129075897344234,up,0.38587499999999997
2,0.1842105263157895,3,2.1546789074699193,2.158567867147064,up,0.38587499999999997
3,0.22631578947368422,0,2.102229048296101,2.1025592017839068,up,0.47799375
3,0.22631578947368422,1,2.1322290482961006,2.137865254330941,up,0.47799375
3,0.22631578947368422,2,2.162229048296101,2.164566595007361,up,0.47799375
3,0.22631578947368422,3,2.1922290482961007,2.1879325859816845,up,0.47799375
4,0.26842105263157895,0,2.144565735941557,2.1464094898619694,up,0.5562946875
4,0.26842105263157895,1,2.174565735941557,2.169771322937412,up,0.5562946875
4,0.26842105263157895,2,2.204565735941557,2.2089579874480934,up,0.5562946875
4,0.26842105263157895,3,2.234565735941557,2.2343161063866255,up,0.5562946875
5,0.31052631578947365,0,2.1851353057539,2.1842109939361736,up,0.622850484375
5,0.31052631578947365,1,2.2151353057538996,2.21173065803188,up,0.622850484375
5,0.31052631578947365,2,2.2451353057539,2.25124801244727,up,0.622850484375
5,0.31052631578947365,3,2.2751353057538997,2.2743626583435557,up,0.622850484375
6,0.3526315789473684,0,2.2190344902720245,2.216892851161209,up,0.67942291171875
6,0.3526315789473684,1,2.2490344902720243,2.247273822519583,up,0.67942291171875
6,0.3526315789473684,2,2.2790344902720245,2.2816960361997913,up,0.67942291171875
6,0.3526315789473684,3,2.3090344902720243,2.3108617105938447,up,0.67942291171875
7,0.39473684210526316,0,2.244639757387509,2.2467034204454888,up,0.7275094749609375
7,0.39473684210526316,1,2.274639757387509,2.276793862402548,up,0.7275094749609375
7,0.39473684210526316,2,2.304639757387509,2.3153479953918614,up,0.7275094749609375
7,0.39473684210526316,3,2.334639757387509,2.3326076823055857,up,0.7275094749609375
8,0.4368421052631579,0,2.2627503767842865,2.2601891631389286,up,0.7683830537167969
8,0.4368421052631579,1,2.2927503767842863,2.2886815131430467,up,0.7683830537167969
8,0.4368421052631579,2,2.3227503767842865,2.325830273897164,up,0.7683830537167969
8,0.4368421052631579,3,2.3527503767842863,2.358395238247891,up,0.7683830537167969
9,0.4789473684210527,0,2.275084331623866,2.2745145943355913,up,0.8031255956592774
9,0.4789473684210527,1,2.3050843316238656,2.300883549239053,up,0.8031255956592774
9,0.4789473684210527,2,2.335084331623866,2.3309619255454095,up,0.8031255956592774
9,0.4789473684210527,3,2.3650843316238657,2.368337295562989,up,0.8031255956592774
10,0.5210526315789473,0,2.2833287573617143,2.2870450282177313,up,0.8326567563103858
10,0.5210526315789473,1,2.313328757361714,2.31604452870324,up,0.8326567563103858
10,0.5210526315789473,2,2.3433287573617143,2.340001208825271,up,0.8326567563103858
10,0.5210526315789473,3,2.373328757361714,2.374489563977048,up,0.8326567563103858
11,0.5631578947368421,0,2.288802898951631,2.2893863279973345,up,0.857758242863828
11,0.5631578947368421,1,2.3188028989516307,2.3198963419352756,up,0.857758242863828
11,0.5631578947368421,2,2.348802898951631,2.3531600428413717,up,0.857758242863828
11,0.5631578947368421,3,2.3788028989516308,2.379920876695504,up,0.857758242863828
12,0.6052631578947368,0,2.2924386686358096,2.295833236451169,up,0.8790945064342538
12,0.6052631578947368,1,2.3224386686358094,2.322776563983254,up,0.8790945064342538
12,0.6052631578947368,2,2.3524386686358096,2.3538842656292593,up,0.8790945064342538
12,0.6052631578947368,3,2.3824386686358094,2.3855951097650023,up,0.8790945064342538
13,0.6473684210526316,0,2.2948632162746674,2.287577437175389,up,0.8972303304691157
13,0.6473684210526316,1,2.324863216274667,2.3232648601928805,up,0.8972303304691157
13,0.6473684210526316,2,2.3548632162746674,2.3525113530032034,up,0.8972303304691157
13,0.6473684210526316,3,2.3848632162746672,2.3816688270334505,up,0.8972303304691157
14,0.6894736842105262,0,2.296489509177919,2.2951137979217857,up,0.9126457808987484
14,0.6894736842105262,1,2.326489509177919,2.333964215734091,up,0.9126457808987484
14,0.6894736842105262,2,2.356489509177919,2.352160353599453,up,0.9126457808987484
14,0.6894736842105262,3,2.386489509177919,2.3913309009508765,up,0.9126457808987484
15,0.731578947368421,0,2.297587460173316,2.289173111315237,up,0.9257489137639361
15,0.731578947368421,1,2.3275874601733157,2.3259130350233868,up,0.9257489137639361
15,0.731578947368421,2,2.357587460173316,2.358401225498841,up,0.9257489137639361
15,0.731578947368421,3,2.387587460173316,2.3905185718301123,up,0.9257489137639361
16,0.7736842105263158,0,2.298333540370189,2.3018896732691534,up,0.9368865766993457
16,0.7736842105263158,1,2.328333540370189,2.332300276546188,up,0.9368865766993457
16,0.7736842105263158,2,2.358333540370189,2.356589915008947,up,0.9368865766993457
16,0.7736842105263158,3,2.388333540370189,2.386021781406866,up,0.9368865766993457
17,0.8157894736842105,0,2.2988436445213085,2.303133523927594,up,0.9463535901944439
17,0.8157894736842105,1,2.3288436445213083,2.3278871228969003,up,0.9463535901944439
17,0.8157894736842105,2,2.3588436445213086,2.352465212904619,up,0.9463535901944439
17,0.8157894736842105,3,2.3888436445213084,2.3831772084512908,up,0.9463535901944439
18,0.8578947368421053,0,2.299194382479379,2.2945971210493705,up,0.9544005516652773
18,0.8578947368421053,1,2.3291943824793786,2.3316801861996472,up,0.9544005516652773
18,0.8578947368421053,2,2.359194382479379,2.3599065111597315,up,0.9544005516652773
