z,alpha,age_EdS_Gyr,age_LCDM_Gyr,H_ratio_EdS,H_ratio_LCDM,A_EdS,A_LCDM,A_ratio,percent_diff
0,0.5,9.673590504451036,13.799166308201475,1.0,1.0,1.0,1.0,1.0,0.0
0,1.0,9.673590504451036,13.799166308201475,1.0,1.0,1.0,1.0,1.0,0.0
0,1.5,9.673590504451036,13.799166308201475,1.0,1.0,1.0,1.0,1.0,0.0
0,2.0,9.673590504451036,13.799166308201475,1.0,1.0,1.0,1.0,1.0,0.0
2,0.5,1.8616833605916712,3.274052940100645,5.196152422706632,3.031501278244824,2.2795070569547775,1.741120696058956,1.3092182880339451,30.921828803394522
2,1.0,1.8616833605916712,3.274052940100645,5.196152422706632,3.031501278244824,5.196152422706632,3.031501278244824,1.7140525257225343,71.40525257225343
2,1.5,1.8616833605916712,3.274052940100645,5.196152422706632,3.031501278244824,11.844666116572432,5.278209615681243,2.244068913326716,124.4068913326716
2,2.0,1.8616833605916712,3.274052940100645,5.196152422706632,3.031501278244824,27.0,9.190000000000001,2.9379760609357994,193.79760609357993
5,0.5,0.6582044643482656,1.170791347505342,14.696938456699069,8.290054282090075,3.833658625477635,2.8792454362367366,1.3314803167625564,33.14803167625564
5,1.0,0.6582044643482656,1.170791347505342,14.696938456699069,8.290054282090075,14.696938456699069,8.290054282090075,1.7728398339261175,77.28398339261176
5,1.5,0.6582044643482656,1.170791347505342,14.696938456699069,8.290054282090075,56.343044882638345,23.869100957862667,2.360501343645225,136.05013436452248
5,2.0,0.6582044643482656,1.170791347505342,14.696938456699069,8.290054282090075,216.0,68.72500000000001,3.142961076755183,214.29610767551833
7,0.5,0.4275163402574452,0.7611854736351125,22.627416997969522,12.726547057234338,4.756828460010884,3.567428633796945,1.3334053595202595,33.34053595202596
7,1.0,0.4275163402574452,0.7611854736351125,22.627416997969522,12.726547057234338,22.627416997969522,12.726547057234338,1.777969852797353,77.7969852797353
7,1.5,0.4275163402574452,0.7611854736351125,22.627416997969522,12.726547057234338,107.63474115247546,45.40104838134203,2.370754530785437,137.07545307854372
7,2.0,0.4275163402574452,0.7611854736351125,22.627416997969522,12.726547057234338,512.0,161.965,3.1611767974562404,216.11767974562406
10,0.5,0.26515429817197445,0.4723078959878544,36.4828726939094,20.49268162052004,6.0401053545372365,4.526884317112604,1.33427428920689,33.427428920688996
10,1.0,0.26515429817197445,0.4723078959878544,36.4828726939094,20.49268162052004,36.4828726939094,20.49268162052004,1.7802878788385517,78.02878788385517
10,1.5,0.26515429817197445,0.4723078959878544,36.4828726939094,20.49268162052004,220.3603947073825,92.76799904351388,2.37539234412095,137.53923441209503
10,2.0,0.26515429817197445,0.4723078959878544,36.4828726939094,20.49268162052004,1331.0,419.95,3.169424931539469,216.9424931539469
12,0.5,0.20638240580851935,0.36765948560044764,46.87216658103186,26.31995440725534,6.846325042023046,5.130297691874746,1.3344888451339008,33.44888451339008
12,1.0,0.20638240580851935,0.36765948560044764,46.87216658103186,26.31995440725534,46.87216658103186,26.31995440725534,1.7808604777868122,78.08604777868122
12,1.5,0.20638240580851935,0.36765948560044764,46.87216658103186,26.31995440725534,320.90208783759414,135.02920134579063,2.3765384423463294,137.65384423463294
12,2.0,0.20638240580851935,0.36765948560044764,46.87216658103186,26.31995440725534,2197.0,692.7399999999999,3.171464041343073,217.14640413430732
15,0.5,0.15114985163204744,0.269286156139921,64.0,35.92944474939739,8.0,5.994117512144502,1.3346418357316885,33.46418357316885
15,1.0,0.15114985163204744,0.269286156139921,64.0,35.92944474939739,64.0,35.92944474939739,1.7812688296852517,78.12688296852517
15,1.5,0.15114985163204744,0.269286156139921,64.0,35.92944474939739,512.0,215.36531397399125,2.3773559007827605,137.73559007827606
15,2.0,0.15114985163204744,0.269286156139921,64.0,35.92944474939739,4096.0,1290.925,3.1729186436082655,217.29186436082654
20,0.5,0.10052145289943974,0.17909624671146288,96.23408959407264,54.017589727791446,9.809897532292203,7.349665960286321,1.3347405970964752,33.47405970964753
20,1.0,0.10052145289943974,0.17909624671146288,96.23408959407264,54.017589727791446,96.23408959407264,54.017589727791446,1.781532461537455,78.1532461537455
20,1.5,0.10052145289943974,0.17909624671146288,96.23408959407264,54.017589727791446,944.0465580312799,397.0112404790608,2.377883701459256,137.7883701459256
20,2.0,0.10052145289943974,0.17909624671146288,96.23408959407264,54.017589727791446,9261.0,2917.9,3.1738579115117034,217.38579115117037
