L,N,realization_seed,walk_index,first_passage_time
6,216,42,0,601
6,216,42,1,97
6,216,42,2,197
6,216,42,3,178
6,216,42,4,554
6,216,42,5,164
6,216,42,6,138
6,216,42,7,554
6,216,42,8,26
6,216,42,9,262
6,216,42,10,261
6,216,42,11,213
6,216,42,12,313
6,216,42,13,146
6,216,42,14,16
6,216,42,15,34
6,216,42,16,24
6,216,42,17,305
6,216,42,18,619
6,216,42,19,620
6,216,42,20,215
6,216,42,21,155
6,216,42,22,461
6,216,42,23,244
6,216,42,24,503
6,216,42,25,338
6,216,42,26,341
6,216,42,27,95
6,216,42,28,393
6,216,42,29,216
6,216,42,30,208
6,216,42,31,197
6,216,42,32,531
6,216,42,33,1215
6,216,42,34,748
6,216,43,0,233
6,216,43,1,1518
6,216,43,2,604
6,216,43,3,434
6,216,43,4,581
6,216,43,5,451
6,216,43,6,1105
6,216,43,7,426
6,216,43,8,355
6,216,43,9,221
6,216,43,10,374
6,216,43,11,482
6,216,43,12,713
6,216,43,13,2091
6,216,43,14,35
6,216,43,15,450
6,216,43,16,122
6,216,43,17,164
6,216,43,18,102
6,216,43,19,649
6,216,43,20,206
6,216,43,21,330
6,216,43,22,411
6,216,43,23,169
6,216,43,24,1003
6,216,43,25,1751
6,216,43,26,1655
6,216,43,27,138
6,216,43,28,559
6,216,43,29,718
6,216,43,30,1710
6,216,43,31,145
6,216,43,32,975
6,216,43,33,2414
6,216,43,34,599
6,216,44,0,351
6,216,44,1,546
6,216,44,2,235
6,216,44,3,153
6,216,44,4,104
6,216,44,5,873
6,216,44,6,339
6,216,44,7,220
6,216,44,8,861
6,216,44,9,177
6,216,44,10,784
6,216,44,11,591
6,216,44,12,143
6,216,44,13,629
6,216,44,14,524
6,216,44,15,120
6,216,44,16,146
6,216,44,17,389
6,216,44,18,800
6,216,44,19,267
6,216,44,20,124
6,216,44,21,809
6,216,44,22,734
6,216,44,23,780
6,216,44,24,249
6,216,44,25,702
6,216,44,26,1748
6,216,44,27,30
6,216,44,28,95
6,216,44,29,226
6,216,44,30,33
6,216,44,31,220
6,216,44,32,346
6,216,44,33,63
6,216,44,34,380
6,216,45,0,272
6,216,45,1,214
6,216,45,2,777
6,216,45,3,558
6,216,45,4,913
6,216,45,5,1680
6,216,45,6,160
6,216,45,7,159
6,216,45,8,362
6,216,45,9,500
6,216,45,10,182
6,216,45,11,776
6,216,45,12,670
6,216,45,13,21
6,216,45,14,457
6,216,45,15,117
6,216,45,16,100
6,216,45,17,494
6,216,45,18,1307
6,216,45,19,855
6,216,45,20,828
6,216,45,21,117
6,216,45,22,78
6,216,45,23,202
6,216,45,24,147
6,216,45,25,336
6,216,45,26,278
6,216,45,27,475
6,216,45,28,160
6,216,45,29,684
6,216,45,30,470
6,216,45,31,642
6,216,45,32,344
6,216,45,33,952
6,216,45,34,921
6,216,46,0,212
6,216,46,1,249
6,216,46,2,374
6,216,46,3,169
6,216,46,4,271
6,216,46,5,453
6,216,46,6,12
6,216,46,7,17
6,216,46,8,1280
6,216,46,9,2081
6,216,46,10,62
6,216,46,11,121
6,216,46,12,455
6,216,46,13,95
6,216,46,14,1460
6,216,46,15,877
6,216,46,16,733
6,216,46,17,254
6,216,46,18,56
6,216,46,19,1355
6,216,46,20,492
6,216,46,21,585
6,216,46,22,259
6,216,46,23,409
6,216,46,24,253
6,216,46,25,207
6,216,46,26,468
6,216,46,27,119
6,216,46,28,304
6,216,46,29,316
6,216,46,30,331
6,216,46,31,375
6,216,46,32,34
6,216,46,33,1531
6,216,46,34,129
8,512,47,0,821
8,512,47,1,887
8,512,47,2,434
8,512,47,3,1319
8,512,47,4,331
8,512,47,5,340
8,512,47,6,1765
8,512,47,7,692
8,512,47,8,155
8,512,47,9,802
8,512,47,10,1297
8,512,47,11,2484
8,512,47,12,1255
8,512,47,13,5472
8,512,47,14,152
8,512,47,15,1168
8,512,47,16,89
8,512,47,17,389
8,512,47,18,15
8,512,47,19,1217
8,512,47,20,1160
8,512,47,21,794
8,512,47,22,743
8,512,47,23,227
8,512,47,24,1135
8,512,47,25,175
8,512,47,26,285
8,512,47,27,1416
8,512,47,28,207
8,512,47,29,367
8,512,47,30,1439
8,512,47,31,813
8,512,47,32,990
8,512,47,33,755
8,512,47,34,1668
8,512,48,0,490
8,512,48,1,613
8,512,48,2,1393
8,512,48,3,487
8,512,48,4,1143
8,512,48,5,2215
8,512,48,6,220
8,512,48,7,620
8,512,48,8,629
8,512,48,9,255
8,512,48,10,2273
8,512,48,11,738
8,512,48,12,199
8,512,48,13,2997
8,512,48,14,28
8,512,48,15,1925
8,512,48,16,25
8,512,48,17,37
8,512,48,18,1212
8,512,48,19,647
8,512,48,20,2007
8,512,48,21,1068
8,512,48,22,210
8,512,48,23,85
8,512,48,24,665
8,512,48,25,554
8,512,48,26,1159
8,512,48,27,1309
8,512,48,28,890
8,512,48,29,175
8,512,48,30,1606
8,512,48,31,245
8,512,48,32,1851
8,512,48,33,327
8,512,48,34,722
8,512,49,0,173
8,512,49,1,1594
8,512,49,2,1648
8,512,49,3,1386
8,512,49,4,63
8,512,49,5,1307
8,512,49,6,3140
8,512,49,7,1273
8,512,49,8,40
8,512,49,9,173
8,512,49,10,375
8,512,49,11,784
8,512,49,12,924
8,512,49,13,608
8,512,49,14,111
8,512,49,15,2281
8,512,49,16,387
8,512,49,17,3775
8,512,49,18,399
8,512,49,19,686
8,512,49,20,2561
8,512,49,21,292
8,512,49,22,263
8,512,49,23,406
8,512,49,24,186
8,512,49,25,210
8,512,49,26,1810
8,512,49,27,53
8,512,49,28,1029
8,512,49,29,2657
8,512,49,30,1321
8,512,49,31,838
8,512,49,32,4095
8,512,49,33,800
8,512,49,34,1069
8,512,50,0,214
8,512,50,1,490
8,512,50,2,100
8,512,50,3,953
8,512,50,4,953
8,512,50,5,1073
8,512,50,6,964
8,512,50,7,46
8,512,50,8,1333
8,512,50,9,489
8,512,50,10,252
8,512,50,11,2247
8,512,50,12,981
8,512,50,13,1170
8,512,50,14,1246
8,512,50,15,178
8,512,50,16,1074
8,512,50,17,22
8,512,50,18,1711
8,512,50,19,1148
8,512,50,20,391
8,512,50,21,31
8,512,50,22,3067
8,512,50,23,3157
8,512,50,24,575
8,512,50,25,165
8,512,50,26,1681
8,512,50,27,850
8,512,50,28,850
8,512,50,29,566
8,512,50,30,846
8,512,50,31,308
8,512,50,32,222
8,512,50,33,576
8,512,50,34,287
8,512,51,0,1844
8,512,51,1,604
8,512,51,2,1512
8,512,51,3,3141
8,512,51,4,914
8,512,51,5,138
8,512,51,6,265
8,512,51,7,454
8,512,51,8,723
8,512,51,9,357
8,512,51,10,1220
8,512,51,11,1556
8,512,51,12,923
8,512,51,13,306
8,512,51,14,659
8,512,51,15,218
8,512,51,16,2135
8,512,51,17,955
8,512,51,18,263
8,512,51,19,310
8,512,51,20,408
