L,N,seed,walk,first_passage_time
5,125,42,0,811
5,125,42,1,134
5,125,42,2,889
5,125,42,3,3168
5,125,42,4,1373
5,125,42,5,202
5,125,42,6,520
5,125,42,7,1175
5,125,42,8,1360
5,125,42,9,393
5,125,42,10,389
5,125,42,11,800
5,125,42,12,1098
5,125,42,13,1142
5,125,42,14,1827
5,125,42,15,710
5,125,42,16,160
5,125,42,17,338
5,125,42,18,403
5,125,42,19,103
5,125,42,20,547
5,125,42,21,2158
5,125,42,22,113
5,125,42,23,219
5,125,42,24,995
5,125,42,25,4656
5,125,42,26,493
5,125,42,27,1511
5,125,42,28,1143
5,125,42,29,3375
5,125,42,30,604
5,125,42,31,432
5,125,42,32,763
5,125,42,33,631
5,125,42,34,888
5,125,42,35,972
5,125,42,36,1965
5,125,42,37,1436
5,125,42,38,665
5,125,42,39,426
5,125,42,40,927
5,125,42,41,440
5,125,42,42,1357
5,125,42,43,2326
5,125,42,44,571
5,125,42,45,3033
5,125,42,46,738
5,125,42,47,182
5,125,42,48,94
5,125,42,49,322
5,125,43,0,1449
5,125,43,1,1249
5,125,43,2,190
5,125,43,3,1799
5,125,43,4,307
5,125,43,5,1006
5,125,43,6,2210
5,125,43,7,1283
5,125,43,8,238
5,125,43,9,674
5,125,43,10,2311
5,125,43,11,376
5,125,43,12,3241
5,125,43,13,427
5,125,43,14,589
5,125,43,15,1436
5,125,43,16,1379
5,125,43,17,80
5,125,43,18,595
5,125,43,19,407
5,125,43,20,1246
5,125,43,21,569
5,125,43,22,5248
5,125,43,23,2170
5,125,43,24,248
5,125,43,25,487
5,125,43,26,579
5,125,43,27,380
5,125,43,28,993
5,125,43,29,1086
5,125,43,30,3464
5,125,43,31,202
5,125,43,32,599
5,125,43,33,621
5,125,43,34,1019
5,125,43,35,728
5,125,43,36,701
5,125,43,37,2472
5,125,43,38,256
5,125,43,39,1035
5,125,43,40,2427
5,125,43,41,630
5,125,43,42,405
5,125,43,43,127
5,125,43,44,1809
5,125,43,45,1647
5,125,43,46,336
5,125,43,47,367
5,125,43,48,129
5,125,43,49,851
5,125,44,0,975
5,125,44,1,789
5,125,44,2,802
5,125,44,3,125
5,125,44,4,2049
5,125,44,5,686
5,125,44,6,360
5,125,44,7,692
5,125,44,8,749
5,125,44,9,2832
5,125,44,10,2990
5,125,44,11,1060
5,125,44,12,714
5,125,44,13,2156
5,125,44,14,595
5,125,44,15,604
5,125,44,16,2615
5,125,44,17,1609
5,125,44,18,491
5,125,44,19,893
5,125,44,20,1715
5,125,44,21,1103
5,125,44,22,228
5,125,44,23,666
5,125,44,24,1748
