z,alpha,A_EdS,A_LCDM,ratio_EdS_LCDM,H_ratio_EdS,H_ratio_LCDM
0,0.5,1.0,1.0,1.0,1.0,1.0
0,1.0,1.0,1.0,1.0,1.0,1.0
0,1.5,1.0,1.0,1.0,1.0,1.0
0,2.0,1.0,1.0,1.0,1.0,1.0
2,0.5,2.2795070569547775,1.741120696058956,1.3092182880339451,5.196152422706632,3.031501278244824
2,1.0,5.196152422706632,3.031501278244824,1.7140525257225343,5.196152422706632,3.031501278244824
2,1.5,11.844666116572432,5.278209615681243,2.244068913326716,5.196152422706632,3.031501278244824
2,2.0,27.0,9.190000000000001,2.9379760609357994,5.196152422706632,3.031501278244824
5,0.5,3.833658625477635,2.8792454362367366,1.3314803167625564,14.696938456699069,8.290054282090075
5,1.0,14.696938456699069,8.290054282090075,1.7728398339261175,14.696938456699069,8.290054282090075
5,1.5,56.343044882638345,23.869100957862667,2.360501343645225,14.696938456699069,8.290054282090075
5,2.0,216.0,68.72500000000001,3.142961076755183,14.696938456699069,8.290054282090075
7,0.5,4.756828460010884,3.567428633796945,1.3334053595202595,22.627416997969522,12.726547057234338
7,1.0,22.627416997969522,12.726547057234338,1.777969852797353,22.627416997969522,12.726547057234338
7,1.5,107.63474115247546,45.40104838134203,2.370754530785437,22.627416997969522,12.726547057234338
7,2.0,512.0,161.965,3.1611767974562404,22.627416997969522,12.726547057234338
10,0.5,6.0401053545372365,4.526884317112604,1.33427428920689,36.4828726939094,20.49268162052004
10,1.0,36.4828726939094,20.49268162052004,1.7802878788385517,36.4828726939094,20.49268162052004
10,1.5,220.3603947073825,92.76799904351388,2.37539234412095,36.4828726939094,20.49268162052004
10,2.0,1331.0,419.95,3.169424931539469,36.4828726939094,20.49268162052004
12,0.5,6.846325042023046,5.130297691874746,1.3344888451339008,46.87216658103186,26.31995440725534
12,1.0,46.87216658103186,26.31995440725534,1.7808604777868122,46.87216658103186,26.31995440725534
12,1.5,320.90208783759414,135.02920134579063,2.3765384423463294,46.87216658103186,26.31995440725534
12,2.0,2197.0,692.7399999999999,3.171464041343073,46.87216658103186,26.31995440725534
15,0.5,8.0,5.994117512144502,1.3346418357316885,64.0,35.92944474939739
15,1.0,64.0,35.92944474939739,1.7812688296852517,64.0,35.92944474939739
15,1.5,512.0,215.36531397399125,2.3773559007827605,64.0,35.92944474939739
15,2.0,4096.0,1290.925,3.1729186436082655,64.0,35.92944474939739
20,0.5,9.809897532292203,7.349665960286321,1.3347405970964752,96.23408959407264,54.017589727791446
20,1.0,96.23408959407264,54.017589727791446,1.781532461537455,96.23408959407264,54.017589727791446
20,1.5,944.0465580312799,397.0112404790608,2.377883701459256,96.23408959407264,54.017589727791446
20,2.0,9261.0,2917.9,3.1738579115117034,96.23408959407264,54.017589727791446
