epsilon,M_star_fraction,M_star_target,A_required,achievable_LCDM,achievable_EdS
0.01,0.01,1570000000.0,0.2,True,True
0.01,0.03,4710000000.0,0.6061331268665384,True,True
0.01,0.05,7850000000.000001,1.0207279664127928,True,True
0.01,0.1,15700000000.000002,2.096656613144318,True,True
0.02,0.01,1570000000.0,0.09949494090612261,True,True
0.02,0.03,4710000000.0,0.30153589819414783,True,True
0.02,0.05,7850000000.000001,0.5077863434973376,True,True
0.02,0.1,15700000000.000002,1.0430336291261253,True,True
0.05,0.01,1570000000.0,0.039187718291460616,True,True
0.05,0.03,4710000000.0,0.11876487111384033,True,True
0.05,0.05,7850000000.000001,0.19999999999999998,True,True
0.05,0.1,15700000000.000002,0.4108159435491372,True,True
0.1,0.01,1570000000.0,0.019077992909870313,True,True
0.1,0.03,4710000000.0,0.05781901748398672,True,True
0.1,0.05,7850000000.000001,0.09736720453064802,True,True
0.1,0.1,15700000000.000002,0.19999999999999998,True,True
