z,alpha,epsilon,N_dyn,M_halo,M_star_target,A_available,A_needed,feasible,margin
7,0.5,0.01,3,100000000000.0,10000000000.0,3.567428633796945,33.60400263508838,False,0.10616082472484793
7,0.5,0.01,3,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,3,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,3,500000000000.0,10000000000.0,3.567428633796945,4.519413795599994,False,0.789356495143268
7,0.5,0.01,3,500000000000.0,30000000000.0,3.567428633796945,15.970770657618129,False,0.22337235380030115
7,0.5,0.01,3,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,3,1000000000000.0,10000000000.0,3.567428633796945,2.182786709117553,True,1.6343459573469592
7,0.5,0.01,3,1000000000000.0,30000000000.0,3.567428633796945,7.033221641571221,False,0.5072253962125928
7,0.5,0.01,3,1000000000000.0,100000000000.0,3.567428633796945,33.60400263508838,False,0.10616082472484793
7,0.5,0.01,3,5000000000000.0,10000000000.0,3.567428633796945,0.42521592034143535,True,8.38968736385131
7,0.5,0.01,3,5000000000000.0,30000000000.0,3.567428633796945,1.2923604113457998,True,2.760397643318401
7,0.5,0.01,3,5000000000000.0,100000000000.0,3.567428633796945,4.519413795599994,False,0.789356495143268
7,0.5,0.01,5,100000000000.0,10000000000.0,3.567428633796945,20.16240158105303,False,0.17693470787474652
7,0.5,0.01,5,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,5,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,5,500000000000.0,10000000000.0,3.567428633796945,2.7116482773599966,True,1.3155941585721134
7,0.5,0.01,5,500000000000.0,30000000000.0,3.567428633796945,9.582462394570877,False,0.3722872563338353
7,0.5,0.01,5,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,5,1000000000000.0,10000000000.0,3.567428633796945,1.3096720254705316,True,2.7239099289115987
7,0.5,0.01,5,1000000000000.0,30000000000.0,3.567428633796945,4.219932984942733,False,0.8453756603543213
7,0.5,0.01,5,1000000000000.0,100000000000.0,3.567428633796945,20.16240158105303,False,0.17693470787474652
7,0.5,0.01,5,5000000000000.0,10000000000.0,3.567428633796945,0.2551295522048612,True,13.982812273085516
7,0.5,0.01,5,5000000000000.0,30000000000.0,3.567428633796945,0.7754162468074799,True,4.600662738864002
7,0.5,0.01,5,5000000000000.0,100000000000.0,3.567428633796945,2.7116482773599966,True,1.3155941585721134
7,0.5,0.01,7,100000000000.0,10000000000.0,3.567428633796945,14.401715415037879,False,0.24770859102464513
7,0.5,0.01,7,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,7,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,7,500000000000.0,10000000000.0,3.567428633796945,1.9368916266857121,True,1.8418318220009584
7,0.5,0.01,7,500000000000.0,30000000000.0,3.567428633796945,6.844615996122056,False,0.5212021588673693
7,0.5,0.01,7,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,7,1000000000000.0,10000000000.0,3.567428633796945,0.9354800181932369,True,3.813473900476238
7,0.5,0.01,7,1000000000000.0,30000000000.0,3.567428633796945,3.0142378463876667,True,1.1835259244960497
7,0.5,0.01,7,1000000000000.0,100000000000.0,3.567428633796945,14.401715415037879,False,0.24770859102464513
7,0.5,0.01,7,5000000000000.0,10000000000.0,3.567428633796945,0.18223539443204376,True,19.57593718231972
7,0.5,0.01,7,5000000000000.0,30000000000.0,3.567428633796945,0.5538687477196286,True,6.440927834409601
7,0.5,0.01,7,5000000000000.0,100000000000.0,3.567428633796945,1.9368916266857121,True,1.8418318220009584
7,0.5,0.01,10,100000000000.0,10000000000.0,3.567428633796945,10.081200790526514,False,0.35386941574949304
7,0.5,0.01,10,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,10,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,10,500000000000.0,10000000000.0,3.567428633796945,1.3558241386799983,True,2.6311883171442267
7,0.5,0.01,10,500000000000.0,30000000000.0,3.567428633796945,4.7912311972854384,False,0.7445745126676706
7,0.5,0.01,10,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.01,10,1000000000000.0,10000000000.0,3.567428633796945,0.6548360127352658,True,5.447819857823197
7,0.5,0.01,10,1000000000000.0,30000000000.0,3.567428633796945,2.1099664924713664,True,1.6907513207086426
7,0.5,0.01,10,1000000000000.0,100000000000.0,3.567428633796945,10.081200790526514,False,0.35386941574949304
7,0.5,0.01,10,5000000000000.0,10000000000.0,3.567428633796945,0.1275647761024306,True,27.965624546171032
7,0.5,0.01,10,5000000000000.0,30000000000.0,3.567428633796945,0.38770812340373995,True,9.201325477728004
7,0.5,0.01,10,5000000000000.0,100000000000.0,3.567428633796945,1.3558241386799983,True,2.6311883171442267
7,0.5,0.02,3,100000000000.0,10000000000.0,3.567428633796945,16.717141281936534,False,0.21339944274154568
7,0.5,0.02,3,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,3,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,3,500000000000.0,10000000000.0,3.567428633796945,2.2482940426176836,True,1.5867268987838423
7,0.5,0.02,3,500000000000.0,30000000000.0,3.567428633796945,7.945054414024764,False,0.44901248599375876
7,0.5,0.02,3,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,3,1000000000000.0,10000000000.0,3.567428633796945,1.0858811731716038,True,3.2852845430382813
7,0.5,0.02,3,1000000000000.0,30000000000.0,3.567428633796945,3.498849858038957,True,1.0196003768496729
7,0.5,0.02,3,1000000000000.0,100000000000.0,3.567428633796945,16.717141281936534,False,0.21339944274154568
7,0.5,0.02,3,5000000000000.0,10000000000.0,3.567428633796945,0.21153416433356828,True,16.86455067452587
7,0.5,0.02,3,5000000000000.0,30000000000.0,3.567428633796945,0.6429166137813134,True,5.548820107191067
7,0.5,0.02,3,5000000000000.0,100000000000.0,3.567428633796945,2.2482940426176836,True,1.5867268987838423
7,0.5,0.02,5,100000000000.0,10000000000.0,3.567428633796945,10.03028476916192,False,0.35566573790257616
7,0.5,0.02,5,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,5,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,5,500000000000.0,10000000000.0,3.567428633796945,1.34897642557061,True,2.6445448313064044
7,0.5,0.02,5,500000000000.0,30000000000.0,3.567428633796945,4.767032648414858,False,0.7483541433229313
7,0.5,0.02,5,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,5,1000000000000.0,10000000000.0,3.567428633796945,0.6515287039029622,True,5.475474238397136
7,0.5,0.02,5,1000000000000.0,30000000000.0,3.567428633796945,2.099309914823374,True,1.6993339614161218
7,0.5,0.02,5,1000000000000.0,100000000000.0,3.567428633796945,10.03028476916192,False,0.35566573790257616
7,0.5,0.02,5,5000000000000.0,10000000000.0,3.567428633796945,0.12692049860014096,True,28.10758445754312
7,0.5,0.02,5,5000000000000.0,30000000000.0,3.567428633796945,0.38574996826878793,True,9.248033511985113
7,0.5,0.02,5,5000000000000.0,100000000000.0,3.567428633796945,1.34897642557061,True,2.6445448313064044
7,0.5,0.02,7,100000000000.0,10000000000.0,3.567428633796945,7.164489120829943,False,0.4979320330636066
7,0.5,0.02,7,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,7,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,7,500000000000.0,10000000000.0,3.567428633796945,0.963554589693293,True,3.702362763828966
7,0.5,0.02,7,500000000000.0,30000000000.0,3.567428633796945,3.405023320296327,True,1.0476958006521038
7,0.5,0.02,7,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,7,1000000000000.0,10000000000.0,3.567428633796945,0.465377645644973,True,7.66566393375599
7,0.5,0.02,7,1000000000000.0,30000000000.0,3.567428633796945,1.4995070820166958,True,2.3790675459825703
7,0.5,0.02,7,1000000000000.0,100000000000.0,3.567428633796945,7.164489120829943,False,0.4979320330636066
7,0.5,0.02,7,5000000000000.0,10000000000.0,3.567428633796945,0.09065749900010069,True,39.350618240560365
7,0.5,0.02,7,5000000000000.0,30000000000.0,3.567428633796945,0.27553569162056285,True,12.947246916779157
7,0.5,0.02,7,5000000000000.0,100000000000.0,3.567428633796945,0.963554589693293,True,3.702362763828966
7,0.5,0.02,10,100000000000.0,10000000000.0,3.567428633796945,5.01514238458096,False,0.7113314758051523
7,0.5,0.02,10,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,10,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,10,500000000000.0,10000000000.0,3.567428633796945,0.674488212785305,True,5.289089662612809
7,0.5,0.02,10,500000000000.0,30000000000.0,3.567428633796945,2.383516324207429,True,1.4967082866458625
7,0.5,0.02,10,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.02,10,1000000000000.0,10000000000.0,3.567428633796945,0.3257643519514811,True,10.950948476794272
7,0.5,0.02,10,1000000000000.0,30000000000.0,3.567428633796945,1.049654957411687,True,3.3986679228322436
7,0.5,0.02,10,1000000000000.0,100000000000.0,3.567428633796945,5.01514238458096,False,0.7113314758051523
7,0.5,0.02,10,5000000000000.0,10000000000.0,3.567428633796945,0.06346024930007048,True,56.21516891508624
7,0.5,0.02,10,5000000000000.0,30000000000.0,3.567428633796945,0.19287498413439397,True,18.496067023970227
7,0.5,0.02,10,5000000000000.0,100000000000.0,3.567428633796945,0.674488212785305,True,5.289089662612809
7,0.5,0.05,3,100000000000.0,10000000000.0,3.567428633796945,6.584320943646719,False,0.5418066136704948
7,0.5,0.05,3,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,3,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,3,500000000000.0,10000000000.0,3.567428633796945,0.8855275733225669,True,4.028591250311587
7,0.5,0.05,3,500000000000.0,30000000000.0,3.567428633796945,3.1292903071413227,True,1.1400120422371012
7,0.5,0.05,3,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,3,1000000000000.0,10000000000.0,3.567428633796945,0.4276921532362153,True,8.341113127288653
7,0.5,0.05,3,1000000000000.0,30000000000.0,3.567428633796945,1.3780795418564864,True,2.5886957359450142
7,0.5,0.05,3,1000000000000.0,100000000000.0,3.567428633796945,6.584320943646719,False,0.5418066136704948
7,0.5,0.05,3,5000000000000.0,10000000000.0,3.567428633796945,0.08331620849692165,True,42.817942608715256
7,0.5,0.05,3,5000000000000.0,30000000000.0,3.567428633796945,0.25322327865427685,True,14.088075364775285
7,0.5,0.05,3,5000000000000.0,100000000000.0,3.567428633796945,0.8855275733225669,True,4.028591250311587
7,0.5,0.05,5,100000000000.0,10000000000.0,3.567428633796945,3.950592566188031,False,0.903011022784158
7,0.5,0.05,5,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,5,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,5,500000000000.0,10000000000.0,3.567428633796945,0.53131654399354,True,6.714318750519313
7,0.5,0.05,5,500000000000.0,30000000000.0,3.567428633796945,1.8775741842847935,True,1.9000200703951688
7,0.5,0.05,5,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,5,1000000000000.0,10000000000.0,3.567428633796945,0.2566152919417291,True,13.901855212147757
7,0.5,0.05,5,1000000000000.0,30000000000.0,3.567428633796945,0.8268477251138917,True,4.314492893241691
7,0.5,0.05,5,1000000000000.0,100000000000.0,3.567428633796945,3.950592566188031,False,0.903011022784158
7,0.5,0.05,5,5000000000000.0,10000000000.0,3.567428633796945,0.049989725098152984,True,71.36323768119209
7,0.5,0.05,5,5000000000000.0,30000000000.0,3.567428633796945,0.1519339671925661,True,23.48012560795881
7,0.5,0.05,5,5000000000000.0,100000000000.0,3.567428633796945,0.53131654399354,True,6.714318750519313
7,0.5,0.05,7,100000000000.0,10000000000.0,3.567428633796945,2.821851832991451,True,1.264215431897821
7,0.5,0.05,7,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,7,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,7,500000000000.0,10000000000.0,3.567428633796945,0.37951181713824295,True,9.400046250727037
7,0.5,0.05,7,500000000000.0,30000000000.0,3.567428633796945,1.341124417346281,True,2.6600280985532363
7,0.5,0.05,7,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,7,1000000000000.0,10000000000.0,3.567428633796945,0.18329663710123512,True,19.462597297006855
7,0.5,0.05,7,1000000000000.0,30000000000.0,3.567428633796945,0.5906055179384941,True,6.040290050538367
7,0.5,0.05,7,1000000000000.0,100000000000.0,3.567428633796945,2.821851832991451,True,1.264215431897821
7,0.5,0.05,7,5000000000000.0,10000000000.0,3.567428633796945,0.035706946498680704,True,99.90853275366892
7,0.5,0.05,7,5000000000000.0,30000000000.0,3.567428633796945,0.10852426228040436,True,32.87217585114234
7,0.5,0.05,7,5000000000000.0,100000000000.0,3.567428633796945,0.37951181713824295,True,9.400046250727037
7,0.5,0.05,10,100000000000.0,10000000000.0,3.567428633796945,1.9752962830940155,True,1.806022045568316
7,0.5,0.05,10,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,10,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,10,500000000000.0,10000000000.0,3.567428633796945,0.26565827199677,True,13.428637501038626
7,0.5,0.05,10,500000000000.0,30000000000.0,3.567428633796945,0.9387870921423968,True,3.8000401407903377
7,0.5,0.05,10,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.05,10,1000000000000.0,10000000000.0,3.567428633796945,0.12830764597086455,True,27.803710424295513
7,0.5,0.05,10,1000000000000.0,30000000000.0,3.567428633796945,0.41342386255694585,True,8.628985786483382
7,0.5,0.05,10,1000000000000.0,100000000000.0,3.567428633796945,1.9752962830940155,True,1.806022045568316
7,0.5,0.05,10,5000000000000.0,10000000000.0,3.567428633796945,0.024994862549076492,True,100.0
7,0.5,0.05,10,5000000000000.0,30000000000.0,3.567428633796945,0.07596698359628305,True,46.96025121591762
7,0.5,0.05,10,5000000000000.0,100000000000.0,3.567428633796945,0.26565827199677,True,13.428637501038626
7,0.5,0.1,3,100000000000.0,10000000000.0,3.567428633796945,3.205484620077397,True,1.112913976081036
7,0.5,0.1,3,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,3,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,3,500000000000.0,10000000000.0,3.567428633796945,0.4311067217461339,True,8.275047578352765
7,0.5,0.1,3,500000000000.0,30000000000.0,3.567428633796945,1.5234512468560177,True,2.3416756139450685
7,0.5,0.1,3,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,3,1000000000000.0,10000000000.0,3.567428633796945,0.20821594680151914,True,17.133311298185916
7,0.5,0.1,3,1000000000000.0,30000000000.0,3.567428633796945,0.6708987630572111,True,5.317387406619398
7,0.5,0.1,3,1000000000000.0,100000000000.0,3.567428633796945,3.205484620077397,True,1.112913976081036
