replicate,alpha,A,R2,SE_alpha,r2_residual,collapse_passes
1,-1.5532112368074156,3687.325129201265,0.9968286092071327,0.03576593082251619,1.2080118967342685e-30,True
2,-1.4859482155862578,3026.5380059311847,0.9935966213661357,0.04869984599586531,1.371810504329293e-33,True
3,-1.458639905112441,2878.6596221409955,0.9950477916497876,0.04200973572438211,4.7721454743324306e-31,True
4,-1.5257997697892662,3388.1299688113786,0.9944251033964725,0.04663954326415525,8.256257562901324e-30,True
5,-1.5291817853148826,3642.2189369314756,0.9963291898417613,0.03789335220293361,1.9888054623470062e-29,True
6,-1.4417298352650505,2782.9870023455965,0.9954398071675329,0.03983752623700564,5.422029351502581e-30,True
7,-1.5234982576201537,3460.3466342471065,0.9968534630151017,0.03494355581237521,1.4771610515810737e-29,True
8,-1.5167103473759764,3893.7088537341588,0.9967248156279506,0.03549418964609058,3.1056429170402873e-29,True
9,-1.5470590743063741,3779.7924583597824,0.9894652998474808,0.06516915316258104,4.279272899826577e-30,True
10,-1.503175513504553,3470.1344051428396,0.9960251701588076,0.038766641803042165,6.684789288399522e-31,True
11,-1.5420797104161053,3754.1358925002723,0.9972885053981859,0.03282654406770315,4.0331844616586275e-30,True
12,-1.5506311852296912,3806.245528142296,0.9991045940278362,0.01895123007543566,1.5826783291518707e-29,True
13,-1.5509670880090127,4045.828674197707,0.9946385696203093,0.04648733439498848,1.0977337123616099e-29,True
14,-1.5260074807187962,3915.346482383869,0.993153472409627,0.05172589763731918,1.0807242196393596e-30,True
15,-1.5122786860352826,3584.1833612509536,0.9895722381182662,0.06337646439254382,1.47083760190988e-31,True
16,-1.467097649975692,2908.0511696531357,0.9939331694194444,0.046793522368742325,5.110751079758768e-31,True
17,-1.4829621250675433,3094.4359128667547,0.9935418747128649,0.04881064865160193,3.1881034211063563e-32,True
18,-1.4900536537716136,3248.9325211713394,0.9958580657042558,0.03923098041305504,7.266364750739567e-30,True
19,-1.4731218678490294,3127.1192025213945,0.9940916651130449,0.046364159019087095,2.18126333076512e-31,True
20,-1.4320676377575925,2893.3786245360902,0.9954819194238963,0.03938657375227099,1.1129251606587661e-29,True
