platform,L_nm,alpha,enhancement
Microfluidic (100 μm),100000.0,1.8,3.981071705534971e-06
Microfluidic (100 μm),100000.0,2.0,9.999999999999997e-07
Microfluidic (100 μm),100000.0,2.2,2.5118864315095764e-07
Microfluidic (100 μm),100000.0,2.5,3.1622776601683785e-08
Microfluidic (10 μm),10000.0,1.8,0.0002511886431509579
Microfluidic (10 μm),10000.0,2.0,9.999999999999998e-05
Microfluidic (10 μm),10000.0,2.2,3.981071705534968e-05
Microfluidic (10 μm),10000.0,2.5,9.999999999999996e-06
Mesoporous (10 nm),10.0,1.8,63.09573444801933
Mesoporous (10 nm),10.0,2.0,99.99999999999999
Mesoporous (10 nm),10.0,2.2,158.4893192461114
Mesoporous (10 nm),10.0,2.5,316.2277660168379
Microporous (2 nm),2.0,1.8,1143.262629818316
Microporous (2 nm),2.0,2.0,2500.0
Microporous (2 nm),2.0,2.2,5466.810369716394
Microporous (2 nm),2.0,2.5,17677.669529663686
Cavitation (50 nm),50.0,1.8,3.4822022531844965
Cavitation (50 nm),50.0,2.0,4.0
Cavitation (50 nm),50.0,2.2,4.59479341998814
Cavitation (50 nm),50.0,2.5,5.656854249492381
