baseline,peak,delta,pct_change,sensitivity
0.12,0.2588455728100672,0.1388455728100672,115.70464400838934,1.1418957494469937
0.12,0.22742335431098476,0.10742335431098476,89.51946192582064,0.7862828013848236
0.12,0.2965851141853012,0.1765851141853012,147.15426182108436,1.4654017333759188
0.12,0.2453341117167763,0.1253341117167763,104.44509309731357,0.9063014555369366
0.12,0.24648782899978142,0.12648782899978142,105.40652416648453,1.0383846163401809
0.12,0.2739948604402175,0.15399486044021748,128.32905036684792,1.0828797670063957
0.12,0.24905688158746558,0.1290568815874656,107.547401322888,1.0238285331418613
0.12,0.2404842098046736,0.12048420980467361,100.40350817056134,1.0663009788046447
0.12,0.2685394936049965,0.14853949360499652,123.7829113374971,1.2651679337852038
0.12,0.24783921492275043,0.12783921492275044,106.53267910229202,0.9844107251483404
0.12,0.2521756021428948,0.1321756021428948,110.14633511907901,0.9724150240404426
0.12,0.2849505996590423,0.1649505996590423,137.45883304920193,1.2000964169060404
0.12,0.28262108005866204,0.16262108005866205,135.5175667155517,1.398763651794756
0.12,0.24878134862739681,0.12878134862739682,107.31779052283068,1.0684819268998254
0.12,0.25395796555227185,0.13395796555227185,111.63163796022656,1.0587979634979814
0.18,0.3090568815874656,0.1290568815874656,71.698267548592,1.0238285331418613
0.18,0.30048420980467366,0.12048420980467367,66.9356721137076,1.0663009788046447
0.18,0.32853949360499657,0.14853949360499658,82.52194089166477,1.2651679337852038
0.18,0.30783921492275046,0.12783921492275047,71.0217860681947,0.9844107251483404
0.18,0.3121756021428948,0.1321756021428948,73.43089007938602,0.9724150240404426
0.18,0.3449505996590423,0.1649505996590423,91.63922203280129,1.2000964169060404
0.18,0.342621080058662,0.162621080058662,90.34504447703443,1.398763651794756
0.18,0.3087813486273968,0.12878134862739682,71.54519368188713,1.0684819268998254
0.18,0.31395796555227184,0.13395796555227185,74.42109197348437,1.0587979634979814
0.18,0.34581519341445177,0.16581519341445178,92.11955189691766,1.3856816245696844
0.18,0.30940071589129814,0.12940071589129815,71.88928660627674,1.1338997133610138
0.18,0.3053885451196447,0.1253885451196447,69.66030284424706,0.8747553621086341
0.18,0.26893413434318203,0.08893413434318204,49.40785241287891,0.6207842005670794
0.18,0.30145947011525764,0.12145947011525765,67.47748339736536,0.8755728357245229
0.18,0.31377526813803214,0.13377526813803214,74.31959341001786,0.8953316647031725
0.24,0.40262108005866204,0.16262108005866205,67.75878335777585,1.398763651794756
0.24,0.3687813486273968,0.12878134862739682,53.65889526141534,1.0684819268998254
0.24,0.3739579655522719,0.1339579655522719,55.8158189801133,1.0587979634979814
0.24,0.4058151934144518,0.16581519341445183,69.08966392268827,1.3856816245696844
0.24,0.3694007158912981,0.1294007158912981,53.91696495470754,1.1338997133610138
0.24,0.3653885451196447,0.1253885451196447,52.24522713318529,0.8747553621086341
0.24,0.328934134343182,0.08893413434318204,37.055889309659186,0.6207842005670794
0.24,0.3614594701152576,0.1214594701152576,50.608112548023996,0.8755728357245229
0.24,0.3737752681380322,0.1337752681380322,55.739695057513416,0.8953316647031725
0.24,0.35170596320926983,0.11170596320926984,46.54415133719577,0.9043439484675609
0.24,0.36591778102075523,0.12591778102075524,52.46574209198135,1.07315053018832
0.24,0.33390548969161216,0.09390548969161217,39.12728737150507,0.5
0.24,0.38027710566822864,0.14027710566822865,58.44879402842861,1.2029239797263418
0.24,0.3613489774146309,0.12134897741463091,50.562073922762885,0.9836609162987506
0.24,0.39249123130230174,0.15249123130230174,63.53801304262573,1.302611694435022
