time_s,delta_signal,theta_signal,alpha_signal,beta_signal,gamma_signal
0.0,0.13353858728381912,-0.058675717522789925,0.09415441920331556,-0.1821603454796385,0.12972229737649374
0.001,0.11832461831720825,0.017237891476912386,0.16665715884080876,0.03646173167904153,0.31575476365762417
0.002,0.030108280351861288,0.04929615299947227,0.014916087019726298,0.27939168331066655,0.2799893975390242
0.003,0.08590201719774071,-0.06434838285989082,0.2130174394472098,0.2728139306613304,0.5443984986151823
0.004,0.1071150262379921,0.18049688172854866,0.2735537876153632,0.42903223115827177,0.5665539406798652
0.005,0.10367819718300156,-0.06056649327401148,0.2995207093061045,0.4167777845355531,0.6922717596287037
0.006,0.0335844328648464,0.21563353044713413,0.14312951662737355,0.8417409211566673,0.7718212925334764
0.007,0.09964344284620094,0.06497825692111812,0.1290724021732585,0.932537777407259,0.4847826121966645
0.008,-0.11618809410753628,0.012422991817876233,0.08522503564204587,1.1117273208872083,0.42378544527098644
0.009,-0.205996860010911,0.06039782372855064,0.1065679107994181,1.0942405874569676,0.0824752449078696
0.01,0.2940623708718344,0.1791508621315098,0.26389845667311573,0.978061164485154,-0.03529351011083451
0.011,-0.018750328122091722,0.10635204716921656,0.28586613729752947,1.040756524652773,-0.46603891760512645
0.012,0.157274788592177,0.3298006080037521,0.37574092691663974,1.1219040759443857,-0.4676282768176831
0.013,-0.07306448045180594,0.3353372933460579,0.3438172336381037,1.0774859557508922,-0.5313514803522472
0.014,0.004767390145609875,0.051248619191655964,0.32671530831285406,1.2099206727525051,-0.5294793658564756
0.015,0.17794667649375623,0.29176693835301326,0.1936567018256492,1.1267838374148786,-0.33542584661268504
0.016,0.2641587489033238,0.1598047664016829,0.37430340598129525,0.9025442379218931,-0.5560500800966506
0.017,0.07068718405016869,0.4999426433760161,0.30130496585338984,0.7504082406124518,-0.11614586920812371
0.018,0.1412123869126947,0.1619494980935146,0.3918272500777482,1.0050071585154783,0.03217841681599459
0.019,0.012330418758409387,0.38693767703835114,0.402198124281905,0.7760910844243373,0.08879430576253305
0.02,-0.03114993577041472,0.2390663765154966,0.3970999907778047,0.6315010942295083,0.20874678617105877
0.021,-0.032873811856764315,0.3956049172912211,0.2996879479233944,0.5578519388509178,0.34548714380261136
0.022,0.08312979003661247,0.347060794529813,0.3604191542927999,0.23938896306553953,0.14119386542830245
0.023,0.1113323271228627,0.282567316600289,0.42519949638742793,0.29994964754443065,0.13202928752826854
0.024,0.10101810113241237,0.42991040413633663,0.562617487577988,0.024220178076830273,0.10434446013374477
0.025,0.23450508282615418,0.3285704424606205,0.2888314446163317,-0.14545553199969147,0.07624706426044157
0.026,-0.028751835503545473,0.48710196746817624,0.44889491697214173,-0.20395826110828832,0.05122640107946473
0.027,0.15713385918550918,0.532342549252046,0.3461518896257525,-0.23979685599322104,-0.10981371781254659
0.028,-0.14623263857809113,0.2926331143899705,0.5943229976585059,-0.46925187530042134,-0.14827449367486434
0.029,0.1801712627533945,0.6098351135371206,0.30213387181374374,-0.5554141577682886,0.04105771630076942
0.03,0.110554369958964,0.35186834314984794,0.35958238642260426,-0.5583554150991089,-0.20750629302580526
0.031,0.16275934303877787,0.4217609856343937,0.3807065277942518,-0.7112642510067487,-0.0920292288153472
0.032,0.07898355611996309,0.48577332219866953,0.3828800363812765,-0.6114505872724579,-0.051136965694086045
0.033,0.09039943898918813,0.388618287170711,0.4093208630459434,-0.7220811645160459,-0.07159932556186915
0.034,-0.04500761636404434,0.5748461242084015,0.2614238275981999,-0.8481944669706089,-0.21711699300363754
0.035,0.12260791048008793,0.5872580482851335,0.3609291251045583,-0.9264520005143422,0.07378032840403353
0.036,-0.0323624302937697,0.5103683639721606,0.16525068923286262,-0.9382523955008584,-0.13929385870323352
0.037,0.029267901365787365,0.5060736221308505,0.3324987857707638,-0.9720094143311818,-0.08665120539288197
0.038,0.2075616048357947,0.4634637134014756,0.3890630492768188,-0.7817412404692835,0.04755871830071329
0.039,0.12445291238661016,0.4462527090604135,0.003791688254860176,-0.8610504192697219,0.04393719830389328
0.04,0.049243242715020494,0.44622781646214155,0.2536906834878668,-0.9430439393388315,0.3781420205089665
0.041,0.19361361159185592,0.6074536963775908,0.10523869469889068,-0.8732452349814149,0.27827409623578514
0.042,0.12599046827808758,0.5085943033063139,0.13274877510594665,-0.4521160880120193,0.1529381651414529
0.043,0.11627910471761674,0.3220634073965656,-0.00617487616544847,-0.49894680977025285,0.20672483929750768
0.044,0.12290445018820821,0.5791311295245188,0.12786685354519173,-0.5251146788123484,0.12636616973877135
0.045,0.11958016851401457,0.5090731680894545,-0.05669723773017449,-0.5768145569425362,-0.011532450097200504
0.046,0.031038683589948518,0.3362207686774531,0.09572098659635997,-0.2861012719504801,-0.04228566894176944
0.047,0.01568902403310969,0.3850686918976227,-0.019099805179458886,-0.35504908481334646,-0.21015880633936038
0.048,0.07789105104132342,0.5841374248007711,-0.04381073444320957,-0.09329879199158553,-0.45095286113493155
0.049,0.13286008497492766,0.5677089456803932,0.09753360125615149,-0.1168674642044876,-0.1922828205027439
0.05,-0.02160900653457838,0.6109506211941303,-0.17262288611056642,0.01236561289935853,-0.3056188651677598
0.051,0.07650625449750165,0.4452471475225457,-0.1482605484969473,0.05247428088991965,-0.23576851517969943
0.052,0.08467546693652767,0.5287336198475617,-0.029829431780076077,0.16356997129717712,-0.3169521889681658
0.053,0.03706415349460046,0.5121461314574262,-0.30333162708589745,0.2753924149984994,-0.08679173736874146
