state,alpha,ndi,s1_pass,s2_pass,prediction
Awake,0.7256635205268882,0.33493776173461065,True,True,Normal Conscious
Awake,0.7659614467287601,0.39654847315688047,True,True,Normal Conscious
Awake,0.8136648888108773,0.5364038452571719,True,True,Normal Conscious
Awake,0.6976339052170624,0.5524813089388091,True,True,Normal Conscious
Awake,0.7233927755263702,0.5182218940097776,True,True,Normal Conscious
Awake,0.7442366408647237,0.38229146760073013,True,True,Normal Conscious
Awake,0.6878225083841268,0.5323968654064929,True,True,Normal Conscious
Awake,0.703261233394673,0.4177081229406403,True,True,Normal Conscious
Awake,0.6722438710325324,0.4838879252474769,True,True,Normal Conscious
Awake,0.8231262459621572,0.36459736685965816,True,True,Normal Conscious
Awake,0.7212109728336379,0.5629776444332344,True,True,Normal Conscious
Awake,0.7160179304377142,0.4861897436999787,True,True,Normal Conscious
Awake,0.666880323592656,0.4842645677766119,True,True,Normal Conscious
Awake,0.7106427867497725,0.5288583996543891,True,True,Normal Conscious
Awake,0.7793693025782376,0.6571650913614892,True,True,Normal Conscious
Awake,0.7489816586606788,0.4760637053265733,True,True,Normal Conscious
Awake,0.7297192150788667,0.42174669657514496,True,True,Normal Conscious
Awake,0.7369241921730846,0.42636788718887764,True,True,Normal Conscious
Awake,0.7284230488134806,0.5554078028486368,True,True,Normal Conscious
Awake,0.6696728717360179,0.5411902848903236,True,True,Normal Conscious
Awake,0.7858557533669932,0.4405545178407137,True,True,Normal Conscious
Awake,0.6139072550495702,0.4013742410324454,True,True,Normal Conscious
Awake,0.7848497273280555,0.44817055501608943,True,True,Normal Conscious
Awake,0.6700348883852545,0.4096180063017426,True,True,Normal Conscious
Awake,0.7620310013252276,0.4937386854561103,True,True,Normal Conscious
Light Sedation,0.5380533950415153,0.220654047054825,True,True,Normal Conscious
Light Sedation,0.530412092547809,0.1762071852401198,True,True,Normal Conscious
Light Sedation,0.6307687844734722,0.22421436246309281,True,True,Normal Conscious
Light Sedation,0.6108579260412749,0.3717052841537961,True,True,Normal Conscious
Light Sedation,0.5999155449073981,0.2154703749825561,True,True,Normal Conscious
Light Sedation,0.5701865045168305,0.24806435148872671,True,True,Normal Conscious
Light Sedation,0.5048149069634936,0.2759487425377282,True,True,Normal Conscious
Light Sedation,0.4910480104420099,0.34501435107692513,False,True,Ambiguous
Light Sedation,0.5267691351350804,0.26609277246982715,True,True,Normal Conscious
Light Sedation,0.5641643935773072,0.22928760210367383,True,True,Normal Conscious
Light Sedation,0.5793346900737638,0.21200770747019804,True,True,Normal Conscious
Light Sedation,0.5935648648728622,0.14232162558026012,True,False,Altered Conscious
Light Sedation,0.5563189789773206,0.4051143199246628,True,True,Normal Conscious
Light Sedation,0.4999834337697213,0.19578040235801186,False,True,Ambiguous
Light Sedation,0.5756953924829458,0.26436654255516784,True,True,Normal Conscious
Light Sedation,0.567531504963678,0.2891349704118131,True,True,Normal Conscious
Light Sedation,0.5817360734280885,0.33877598735649783,True,True,Normal Conscious
Light Sedation,0.5704909328464257,0.23069938763051662,True,True,Normal Conscious
Light Sedation,0.5836286850601367,0.40199055479161727,True,True,Normal Conscious
Light Sedation,0.5433683126808714,0.17203765562634868,True,True,Normal Conscious
Light Sedation,0.6053540334643487,0.24036950688371214,True,True,Normal Conscious
Light Sedation,0.4413665226992982,0.3177937341720337,False,True,Ambiguous
Light Sedation,0.5232335907023039,0.24275733741566713,True,True,Normal Conscious
Light Sedation,0.5665990165284508,0.2652399743823253,True,True,Normal Conscious
Light Sedation,0.585472590856952,0.21516109035441253,True,True,Normal Conscious
Deep Anesthesia,0.30565528990880414,-0.0007637342067133741,False,False,Unconscious
Deep Anesthesia,0.31694052404437517,0.06922939872104428,False,False,Unconscious
Deep Anesthesia,0.23322806489777026,0.10687856929400259,False,False,Unconscious
Deep Anesthesia,0.2532018277442976,0.08464462386249161,False,False,Unconscious
Deep Anesthesia,0.2983643656700671,0.1670546941436098,False,True,Ambiguous
Deep Anesthesia,0.2688267008814074,-0.007945343689455799,False,False,Unconscious
Deep Anesthesia,0.2790290197056134,-0.004254382626742034,False,False,Unconscious
Deep Anesthesia,0.3199970950971025,-0.10930484867492703,False,False,Unconscious
Deep Anesthesia,0.22731587904268233,-0.06542423372633545,False,False,Unconscious
Deep Anesthesia,0.3275153795986788,0.15684906980655403,False,True,Ambiguous
Deep Anesthesia,0.27477753907312646,0.006494262144799151,False,False,Unconscious
Deep Anesthesia,0.2835026081556591,0.11295026420865524,False,False,Unconscious
Deep Anesthesia,0.23363234329047133,0.039069518618782814,False,False,Unconscious
Deep Anesthesia,0.3287598814891215,0.06008753359518762,False,False,Unconscious
Deep Anesthesia,0.2894790808299372,0.1000836874053713,False,False,Unconscious
Deep Anesthesia,0.14483838535003815,0.07423002556247262,False,False,Unconscious
Deep Anesthesia,0.24729621584362882,-0.12645063174851656,False,False,Unconscious
Deep Anesthesia,0.30556012997624904,0.1298926836130366,False,False,Unconscious
Deep Anesthesia,0.27312757426861545,0.09622996377623512,False,False,Unconscious
