pattern,alpha_true,alpha_measured,true_class,predicted_class
Easterly Wave,1.2,1.274507122951685,Advective,Advective
Easterly Wave,1.2,1.1792603548243223,Advective,Advective
Easterly Wave,1.2,1.2971532807151038,Advective,Advective
Easterly Wave,1.2,1.4284544784612037,Advective,Advective
Easterly Wave,1.2,1.1648769937914996,Advective,Advective
Easterly Wave,1.2,1.1648794564576228,Advective,Advective
Easterly Wave,1.2,1.4368819223261087,Advective,Advective
Easterly Wave,1.2,1.3151152093729364,Advective,Advective
Easterly Wave,1.2,1.1295788421097572,Advective,Advective
Easterly Wave,1.2,1.2813840065378947,Advective,Advective
Easterly Wave,1.2,1.1304873460781306,Advective,Advective
Easterly Wave,1.2,1.1301405369644615,Advective,Advective
Easterly Wave,1.2,1.2362943407349052,Advective,Advective
Easterly Wave,1.2,0.9130079633013303,Advective,Advective
Easterly Wave,1.2,0.941262325123045,Advective,Advective
Easterly Wave,1.2,1.115656870613854,Advective,Advective
Easterly Wave,1.2,1.0480753319498364,Advective,Advective
Easterly Wave,1.2,1.247137099889291,Advective,Advective
Easterly Wave,1.2,1.0637963886718182,Advective,Advective
Easterly Wave,1.2,0.9881544447997063,Advective,Advective
Easterly Wave,1.2,1.4198473153382332,Advective,Advective
Easterly Wave,1.2,1.1661335549270195,Advective,Advective
Easterly Wave,1.2,1.2101292307031886,Advective,Advective
Trade Cumulus,1.1,0.8862877720679816,Advective,Advective
Trade Cumulus,1.1,1.0183425913212227,Advective,Advective
Trade Cumulus,1.1,1.11663838845648,Advective,Advective
Trade Cumulus,1.1,0.9273509633866547,Advective,Advective
Trade Cumulus,1.1,1.1563547027518508,Advective,Advective
Trade Cumulus,1.1,1.0099041965121793,Advective,Advective
Trade Cumulus,1.1,1.0562459375310085,Advective,Advective
Trade Cumulus,1.1,1.0097440081655906,Advective,Advective
Trade Cumulus,1.1,1.3778417276763406,Advective,Advective
Trade Cumulus,1.1,1.09797541628931,Advective,Advective
Trade Cumulus,1.1,0.9413433606566151,Advective,Advective
Trade Cumulus,1.1,1.2233817368154785,Advective,Advective
Trade Cumulus,1.1,0.9168734525043467,Advective,Advective
Trade Cumulus,1.1,1.1313295392507134,Advective,Advective
Trade Cumulus,1.1,0.8060494814180338,Advective,Advective
Trade Cumulus,1.1,0.9007720926652355,Advective,Advective
Trade Cumulus,1.1,1.1295291853803686,Advective,Advective
Trade Cumulus,1.1,1.2107699869993116,Advective,Advective
Trade Cumulus,1.1,1.1257052421784957,Advective,Advective
Trade Cumulus,1.1,1.082652757641764,Advective,Advective
Trade Cumulus,1.1,1.0548344456616068,Advective,Advective
Trade Cumulus,1.1,0.878221701444886,Advective,Advective
Trade Cumulus,1.1,0.9920233687407938,Advective,Advective
Sea Breeze,1.3,1.230904184356032,Advective,Advective
Sea Breeze,1.3,1.4585683339328375,Advective,Advective
Sea Breeze,1.3,1.3515427434352691,Advective,Advective
Sea Breeze,1.3,1.0355439766955898,Advective,Advective
Sea Breeze,1.3,1.3486125954092194,Advective,Advective
Sea Breeze,1.3,1.2422376579375525,Advective,Advective
Sea Breeze,1.3,1.1984616999541062,Advective,Advective
Sea Breeze,1.3,1.3917514433261302,Advective,Advective
Sea Breeze,1.3,1.4546499283743928,Advective,Advective
Sea Breeze,1.3,1.4396920178674297,Advective,Advective
Sea Breeze,1.3,1.1741173715166042,Advective,Advective
Sea Breeze,1.3,1.253618143622318,Advective,Advective
Sea Breeze,1.3,1.3496895147105346,Advective,Advective
Sea Breeze,1.3,1.446331769068354,Advective,Advective
Sea Breeze,1.3,1.2281238643232066,Advective,Advective
Sea Breeze,1.3,1.2721511535004275,Advective,Advective
Sea Breeze,1.3,1.134049753899096,Advective,Advective
Sea Breeze,1.3,1.1205690063878995,Advective,Advective
Sea Breeze,1.3,1.4218788733591297,Advective,Advective
Sea Breeze,1.3,1.5034360042856234,Advective,Hierarchical
Sea Breeze,1.3,1.28919848176295,Advective,Advective
Sea Breeze,1.3,1.4505299346838036,Advective,Advective
Sea Breeze,1.3,1.3542454037571452,Advective,Advective
Afternoon Thunderstorms,1.4,1.3032320368092312,Advective,Advective
Afternoon Thunderstorms,1.4,1.454209340826262,Advective,Advective
Afternoon Thunderstorms,1.4,1.6307054849698952,Advective,Hierarchical
Afternoon Thunderstorms,1.4,1.3946260941335071,Advective,Advective
Afternoon Thunderstorms,1.4,1.6346965483721008,Advective,Hierarchical
Afternoon Thunderstorms,1.4,1.0070382343865383,Advective,Advective
Afternoon Thunderstorms,1.4,1.5232853756562834,Advective,Hierarchical
Afternoon Thunderstorms,1.4,1.4130570602357255,Advective,Advective
Afternoon Thunderstorms,1.4,1.3551488974301198,Advective,Advective
Afternoon Thunderstorms,1.4,1.4137641164803252,Advective,Advective
Afternoon Thunderstorms,1.4,1.101864662809866,Advective,Advective
Afternoon Thunderstorms,1.4,1.367049216824373,Advective,Advective
Afternoon Thunderstorms,1.4,1.4535668857267618,Advective,Advective
Afternoon Thunderstorms,1.4,1.6216841067112273,Advective,Hierarchical
Afternoon Thunderstorms,1.4,1.3222594672589527,Advective,Advective
Afternoon Thunderstorms,1.4,1.2787259595660219,Advective,Advective
Afternoon Thunderstorms,1.4,1.3247364434623194,Advective,Advective
Afternoon Thunderstorms,1.4,1.5373103176553111,Advective,Hierarchical
Afternoon Thunderstorms,1.4,1.4493126664489526,Advective,Advective
Afternoon Thunderstorms,1.4,1.3205359694349441,Advective,Advective
Afternoon Thunderstorms,1.4,1.4769901149670033,Advective,Advective
Afternoon Thunderstorms,1.4,1.414561632402206,Advective,Advective
Afternoon Thunderstorms,1.4,1.5452967485799334,Advective,Hierarchical
Cold Front,1.7,1.5946920359183971,Hierarchical,Hierarchical
Cold Front,1.7,1.6508506780103347,Hierarchical,Hierarchical
Cold Front,1.7,1.6411837770301763,Hierarchical,Hierarchical
Cold Front,1.7,1.4804727577801822,Hierarchical,Advective
Cold Front,1.7,1.7444180415596864,Hierarchical,Hierarchical
Cold Front,1.7,1.7391582908269834,Hierarchical,Hierarchical
Cold Front,1.7,1.700767018496369,Hierarchical,Hierarchical
Cold Front,1.7,1.6648119299937278,Hierarchical,Hierarchical
Cold Front,1.7,1.4876943886924379,Hierarchical,Advective
Cold Front,1.7,1.636903201585196,Hierarchical,Hierarchical
Cold Front,1.7,1.6485928225209845,Hierarchical,Hierarchical
Cold Front,1.7,1.5796584096167572,Hierarchical,Hierarchical
