Grad_Alpha,Ideal_FA_Pa,Robust_Mean_FA_Pa,Robust_Std_FA_Pa
0.1,8.000000000000002e-11,8.042199675379883e-11,6.237216975764641e-12
0.10974987654930562,8.779990123944451e-11,8.772873862279001e-11,7.164322029800448e-12
0.12045035402587821,9.636028322070257e-11,9.582932596553346e-11,7.521046980610346e-12
0.1321941148466029,1.0575529187728234e-10,1.0573235278119868e-10,8.773174349409079e-12
0.14508287784959398,1.1606630227967518e-10,1.160687884042988e-10,8.92986075567051e-12
0.1592282793341092,1.2738262346728738e-10,1.270511685957879e-10,1.0314631510504917e-11
0.17475284000076838,1.3980227200061472e-10,1.4043010462882858e-10,1.1389683911975219e-11
0.19179102616724888,1.5343282093379913e-10,1.536060939410727e-10,1.254773927518657e-11
0.2104904144512021,1.683923315609617e-10,1.689659550591598e-10,1.3310458753666742e-11
0.23101297000831597,1.848103760066528e-10,1.8515988697356442e-10,1.4989520458046158e-11
0.2535364493970112,2.0282915951760896e-10,2.029657851930213e-10,1.634887387277155e-11
0.2782559402207124,2.2260475217656996e-10,2.2179689909911193e-10,1.7618945980988703e-11
0.30538555088334157,2.4430844070667326e-10,2.4427086864492495e-10,1.960506826908582e-11
0.33516026509388425,2.681282120751074e-10,2.68407275700219e-10,2.151755693144518e-11
0.36783797718286343,2.942703817462908e-10,2.9321580236708605e-10,2.3337948248273025e-11
0.40370172585965547,3.229613806877244e-10,3.2293884612337987e-10,2.5177328416856545e-11
0.4430621457583881,3.5444971660671053e-10,3.5450279361744113e-10,2.955360485662072e-11
0.4862601580065355,3.8900812640522844e-10,3.867773230604291e-10,3.129587386572281e-11
0.533669923120631,4.269359384965048e-10,4.2543129238928075e-10,3.199401442372347e-11
0.5857020818056667,4.685616654445334e-10,4.706712309580086e-10,3.665208974285298e-11
0.6428073117284322,5.142458493827458e-10,5.158188514271349e-10,4.2348676240666415e-11
0.7054802310718644,5.643841848574916e-10,5.649690677199611e-10,4.6511357661008413e-11
0.7742636826811272,6.194109461449018e-10,6.211716874726605e-10,4.880674562762966e-11
0.8497534359086445,6.798027487269156e-10,6.759326896358043e-10,5.330577843133607e-11
0.9326033468832199,7.46082677506576e-10,7.482043434966566e-10,6.108742911990257e-11
1.0235310218990263,8.188248175192212e-10,8.185207541663787e-10,6.654947026095825e-11
1.1233240329780276,8.986592263824222e-10,8.993055445544072e-10,7.279734826293165e-11
1.2328467394420666,9.862773915536534e-10,9.850886478202343e-10,8.049927616907046e-11
1.3530477745798075,1.0824382196638462e-09,1.08195115259947e-09,8.807375857935418e-11
1.484968262254465,1.1879746098035722e-09,1.1907260727066267e-09,9.721114779285526e-11
1.6297508346206444,1.3038006676965157e-09,1.3068991462376985e-09,1.0383460340291644e-10
1.7886495290574351,1.4309196232459484e-09,1.4341461138268052e-09,1.1427175509010566e-10
1.9630406500402715,1.5704325200322174e-09,1.5724555978604986e-09,1.2436215928876137e-10
2.1544346900318843,1.7235477520255077e-09,1.7242452521167048e-09,1.3095595368528134e-10
2.3644894126454084,1.891591530116327e-09,1.8896988127783786e-09,1.519119385031872e-10
2.5950242113997373,2.07601936911979e-09,2.0663766139781656e-09,1.639618654658086e-10
2.848035868435802,2.2784286947486418e-09,2.285786783240128e-09,1.822648273846327e-10
3.1257158496882367,2.50057267975059e-09,2.496849967695055e-09,1.9736399524590522e-10
3.4304692863149193,2.7443754290519357e-09,2.7433448962725696e-09,2.214819368386346e-10
3.764935806792469,3.0119486454339755e-09,3.016727019571103e-09,2.4126306926725315e-10
4.132012400115339,3.3056099200922714e-09,3.3103304011150823e-09,2.7284685366077473e-10
4.5348785081285845,3.627902806502868e-09,3.6289904946687544e-09,2.8972174478175737e-10
4.977023564332112,3.98161885146569e-09,3.994837143886494e-09,3.2028774919802063e-10
5.462277217684343,4.369821774147474e-09,4.370287816062905e-09,3.383881353610789e-10
5.994842503189412,4.79587400255153e-09,4.790697627581904e-09,3.893033545430667e-10
6.5793322465756825,5.263465797260547e-09,5.270008302749888e-09,4.196358293042386e-10
7.220809018385467,5.776647214708375e-09,5.780017309850583e-09,4.67185614186421e-10
7.924828983539178,6.339863186831343e-09,6.341399978928761e-09,5.084974100531262e-10
8.697490026177835,6.9579920209422685e-09,6.933565854401273e-09,5.523216360731787e-10
9.545484566618342,7.636387653294674e-09,7.61915988791353e-09,5.839314075595206e-10
10.476157527896651,8.380926022317322e-09,8.384429440091216e-09,6.639267637969698e-10
11.497569953977369,9.198055963181895e-09,9.188547421597489e-09,7.447551642162768e-10
12.61856883066021,1.009485506452817e-08,1.0093027798882153e-08,7.93941374438973e-10
13.848863713938732,1.1079090971150986e-08,1.1134719211640486e-08,8.801309334870462e-10
15.199110829529348,1.215928866362348e-08,1.2176848436953116e-08,9.320841446746098e-10
16.68100537200059,1.3344804297600475e-08,1.3351207095899388e-08,1.1124949895149056e-09
18.307382802953697,1.4645906242362959e-08,1.4680262021131125e-08,1.1522986084365392e-09
20.09233002565048,1.6073864020520387e-08,1.6066081918437007e-08,1.3485514027808914e-09
22.051307399030456,1.7641045919224364e-08,1.7692526076044258e-08,1.4244013294108115e-09
24.201282647943835,1.9361026118355072e-08,1.9337844157661003e-08,1.6141702252226132e-09
26.560877829466868,2.1248702263573497e-08,2.1167714767425277e-08,1.6790954470175624e-09
29.150530628251786,2.332042450260143e-08,2.3250762584246214e-08,1.8074391989706584e-09
31.992671377973846,2.559413710237908e-08,2.5669373945522067e-08,2.023003929963472e-09
35.111917342151344,2.8089533873721078e-08,2.8034324392184012e-08,2.3484485201444796e-09
38.535285937105314,3.0828228749684254e-08,3.0902142526058606e-08,2.4454003981100982e-09
42.29242874389499,3.383394299511599e-08,3.384042412765627e-08,2.7568576261633344e-09
