t_ms,L_mm,F_nN,J_pNs
0.0,1.0,1.5869402222236377e-09,7.974573981023305e-12
0.005025125628140704,0.9999975079456309,3.1730974037844304e-09,2.391978706536718e-11
0.010050251256281407,0.9999900342666576,6.3430792013492885e-09,5.579455692139375e-11
0.015075376884422112,0.9999775864130056,9.506832705481284e-09,1.0356758559215398e-10
0.020100502512562814,0.9999601767929663,1.2661251065105105e-08,1.671919628037374e-10
0.02512562814070352,0.9999378227608275,1.580323617741956e-08,2.4660520992644876e-10
0.030150753768844223,0.999910546599575,1.8929701594326354e-08,3.417293385411541e-10
0.035175879396984924,0.9998783754986789,2.203757541932189e-08,4.5247092356287215e-10
0.04020100502512563,0.9998413415269927,2.5123803193907766e-08,5.787211908689412e-10
0.04522613065326633,0.9997994816007842,2.8185350770555523e-08,7.203561193641951e-10
0.05025125628140704,0.9997528374469389,3.12192071705512e-08,8.772365574071659e-10
0.05527638190954774,0.9997014555613634,3.4222387424606825e-08,1.049208353510718e-09
0.06030150753768845,0.9996453871626387,3.7191935392923155e-08,1.2361025012138494e-09
0.06532663316582915,0.9995846881409639,4.01249265637739e-08,1.4377352980167333e-09
0.07035175879396985,0.9995194190024442,4.3018470828266277e-08,1.6539085182592773e-09
0.07537688442211056,0.999449644808776,4.586971522820443e-08,1.8844095998080436e-09
0.08040201005025126,0.999375435112393,4.8675846675323185e-08,2.1290118444076573e-09
0.08542713567839197,0.9992968638871346,5.143409464032428e-08,2.3874746315449653e-09
0.09045226130653267,0.9992140094545069,5.41417338083748e-08,2.6595436456574015e-09
0.09547738693467336,0.9991269544056098,5.679608669919914e-08,2.9449511165076487e-09
0.10050251256281408,0.9990357855188098,5.939452625012194e-08,3.2434160725384118e-09
0.10552763819095477,0.9989405936732361,6.193447835960882e-08,3.5546446070088083e-09
0.11055276381909548,0.9988414737581899,6.441342438782821e-08,3.878330156696387e-09
0.11557788944723618,0.9987385245785584,6.682890361374411e-08,4.214153792946357e-09
0.1206030150753769,0.998631848756323,6.917851564618832e-08,4.561784524836752e-09
0.1256281407035176,0.9985215526282633,7.145992278561065e-08,4.920879614211679e-09
0.1306532663316583,0.9984077461399582,7.367085233508262e-08,5.291084902327672e-09
0.135678391959799,0.9982905427361902,7.580909885837775e-08,5.672035147847159e-09
0.1407035175879397,0.9981700592478612,7.787252638289186e-08,6.063354375901892e-09
0.14572864321608042,0.9980464157755325,7.985907054482953e-08,6.464656237936211e-09
0.15075376884422112,0.9979197355697066,8.176674067498833e-08,6.8755443820316305e-09
0.15577889447236182,0.9977901449079672,8.359362182251436e-08,7.295612833401049e-09
0.16080402010050251,0.9976577729691046,8.533787671463206e-08,7.724446384730858e-09
0.1658291457286432,0.9975227517043459,8.69977476504996e-08,8.161620996039901e-09
0.17085427135678394,0.9973852157058245,8.85715583265903e-08,8.60670420371121e-09
0.17587939698492464,0.9972453020724145,9.005771559184066e-08,9.059255538343574e-09
0.18090452261306533,0.997103150273069,9.145471113061161e-08,9.518826951060215e-09
0.18592964824120603,0.9969589020077925,9.276112307076133e-08,9.984963247898214e-09
0.19095477386934673,0.996812701066393,9.397561751525006e-08,1.0457202531894442e-08
0.19597989949748745,0.9966646931851488,9.50969499963399e-08,1.0935076652479066e-08
0.20100502512562815,0.9965150259015345,9.612396684856329e-08,1.1418111661768328e-08
0.20603015075376885,0.996363848407153,9.705560649914592e-08,1.1905828277341924e-08
0.21105527638190955,0.9962113113990189,9.789090067549962e-08,1.2397742351088152e-08
0.21608040201005024,0.996057566929339,9.862897552651467e-08,1.2893365343683703e-08
0.22110552763819097,0.9959027682539445,9.926905265586761e-08,1.3392204804265955e-08
0.22613065326633167,0.9957470696795214,9.981045006670127e-08,1.3893764854852393e-08
0.23115577889447236,0.9955906264097947,1.0025258301513124e-07,1.4397546679049033e-08
0.23618090452261306,0.9954335943908178,1.0059496477166496e-07,1.4903049014585034e-08
0.2412060301507538,0.9952761301555224,1.0083720728876302e-07,1.5409768649201936e-08
0.24623115577889448,0.9951183906676833,1.0097902177365123e-07,1.591720091942129e-08
0.2512562814070352,0.9949605331654515,1.0102021916380753e-07,1.642484021170173e-08
0.2562814070351759,0.9948027150046188,1.0096071050523813e-07,1.6932180465496896e-08
0.2613065326633166,0.9946450935017599,1.0080050723226079e-07,1.7438715677719313e-08
0.2663316582914573,0.994487825777417,1.0053972134701765e-07,1.7943940408106333e-08
0.271356783919598,0.9943310685994776,1.0017856549832657e-07,1.8447350284982348e-08
0.27638190954773867,0.9941749782269059,9.97173529585772e-08,1.894844251090485e-08
0.2814070351758794,0.9940197102539801,9.915649749898137e-08,1.9446716367683653e-08
0.2864321608040201,0.9938654194551919,9.849651316120357e-08,1.994167372025251e-08
0.29145728643216084,0.9937122596309655,9.773801392570298e-08,2.0432819518874133e-08
0.2964824120603015,0.9935603834543442,9.688171327602351e-08,2.0919662299155658e-08
0.30150753768844224,0.993409942318804,9.592842365926297e-08,2.140171467935296e-08
0.3065326633165829,0.9932610861873401,9.48790558415868e-08,2.187849385443631e-08
0.31155778894472363,0.9931139634429822,9.373461815983499e-08,2.2349522086395278e-08
0.3165829145728643,0.9929687207408812,9.24962156689837e-08,2.2814327190259518e-08
0.32160804020100503,0.992825502862121,9.116504918456257e-08,2.3272443015307573e-08
0.32663316582914576,0.9926844525693984,8.974241422278391e-08,2.3723409920949702e-08
0.3316582914572864,0.9925457104647121,8.822969983624736e-08,2.416677524675999e-08
0.3366834170854272,0.9924094148492097,8.662838734757732e-08,2.46020937761448e-08
0.3417085427135679,0.9922757015853247,8.494004898131657e-08,2.502892819313634e-08
0.3467336683417086,0.9921447039613466,8.316634639465616e-08,2.5446849531802957e-08
0.35175879396984927,0.9920165525585556,8.13090291084748e-08,2.585543761777519e-08
0.35678391959799,0.9918913751210574,7.936993283965726e-08,2.625428150139156e-08
0.36180904522613067,0.9917692964284438,7.73509777362102e-08,2.664297988197553e-08
0.3668341708542714,0.9916504381714107,7.525416651633579e-08,2.7021141522761137e-08
0.37185929648241206,0.9915349188304534,7.308158251338188e-08,2.738838565599421e-08
0.3768844221105528,0.9914228535577632,7.083538762809482e-08,2.7744342377743432e-08
0.38190954773869346,0.9913143540624412,6.85178201909892e-08,2.8088653031969508e-08
0.3869346733668342,0.9912095284991438,6.613119273562536e-08,2.842097058340481e-08
0.3919597989949749,0.9911084813602723,6.367788968539246e-08,2.874095997880879e-08
0.39698492462311563,0.9910113133718124,6.116036495708983e-08,2.9048298496181103e-08
0.4020100502512563,0.990918121392928,5.858113948222731e-08,2.9342676081518927e-08
0.407035175879397,0.9908289983194104,5.59427986496096e-08,2.9623795672722992e-08
0.4120603015075377,0.9907440329910775,5.324798967186075e-08,2.989137351027004e-08
0.4170854271356784,0.9906633101032165,5.049941887826131e-08,3.01451394342814e-08
0.4221105527638191,0.9905869101221573,4.769984893738073e-08,3.0384837167635074e-08
0.4271356783919598,0.9905149092050627,4.4852096012213515e-08,3.061022458478188e-08
0.4321608040201005,0.9904473791240128,4.195902685149554e-08,3.082107396594517e-08
0.4371859296482412,0.9903843871944608,3.902355581947222e-08,3.1017172236394787e-08
0.44221105527638194,0.9903259962081321,3.6048641868956346e-08,3.119832119051014e-08
0.44723618090452266,0.9902722643704317,3.303728546033879e-08,3.1364337700361086e-08
0.45226130653266333,0.990223245242424,2.9992525429614244e-08,3.1515053908550106e-08
0.45728643216080406,0.9901789876874421,2.691743581090519e-08,3.165031740508732e-08
0.4623115577889447,0.9901395358223788,2.381512261524776e-08,3.1769991388078514e-08
0.46733668341708545,0.9901049289737114,2.0688720570374567e-08,3.187395480803015e-08
0.4723618090452261,0.9900752016382993,1.7541389825990157e-08,3.1962102495597937e-08
0.47738693467336685,0.9900503834489973,1.4376312627815293e-08,3.2034345272622135e-08
0.4824120603015076,0.9900304991451154,1.1196689963777784e-08,3.2090610046309456e-08
0.48743718592964824,0.9900155685477611,8.005738188196174e-09,3.213083988645115e-08
0.49246231155778897,0.9900056065400776,4.806685626618862e-09,3.2154994085579885e-08
0.49748743718592975,0.9900006230524118,1.6027691658834987e-09,3.216304820199136e-08
0.5025125628140704,0.9900006230524118,1.6027691658834987e-09,3.217110231840284e-08
0.507537688442211,0.9900056065400776,4.806685626618862e-09,3.219525651753158e-08
0.5125628140703518,0.9900155685477611,8.005738188196174e-09,3.2235486357673274e-08
0.5175879396984926,0.9900304991451154,1.1196689963777784e-08,3.229175113136059e-08
0.5226130653266332,0.9900503834489973,1.4376312627815293e-08,3.236399390838479e-08
0.5276381909547739,0.9900752016382993,1.7541389825990157e-08,3.245214159595258e-08
0.5326633165829145,0.9901049289737114,2.0688720570374567e-08,3.255610501590421e-08
0.5376884422110554,0.9901395358223788,2.381512261524776e-08,3.26757789988954e-08
0.542713567839196,0.9901789876874421,2.691743581090519e-08,3.2811042495432623e-08
0.5477386934673367,0.990223245242424,2.9992525429614244e-08,3.296175870362164e-08
0.5527638190954773,0.9902722643704317,3.303728546033879e-08,3.312777521347259e-08
0.5577889447236182,0.9903259962081321,3.6048641868956346e-08,3.330892416758794e-08
0.5628140703517588,0.9903843871944608,3.902355581947222e-08,3.350502243803756e-08
0.5678391959798995,0.9904473791240128,4.195902685149554e-08,3.371587181920085e-08
0.5728643216080402,0.9905149092050627,4.4852096012213515e-08,3.3941259236347655e-08
0.577889447236181,0.9905869101221573,4.769984893738073e-08,3.4180956969701323e-08
0.5829145728643217,0.9906633101032165,5.049941887826131e-08,3.443472289371269e-08
0.5879396984924623,0.9907440329910775,5.324798967186075e-08,3.470230073125973e-08
0.592964824120603,0.9908289983194104,5.59427986496096e-08,3.49834203224638e-08
0.5979899497487438,0.990918121392928,5.858113948222731e-08,3.527779790780163e-08
0.6030150753768845,0.9910113133718124,6.116036495708983e-08,3.558513642517393e-08
