M_RTM,eta,M_GUT,min_spread,alpha1_inv,alpha2_inv,alpha3_inv
10000000000.0,0.01,134285134638626.6,4.090665498531422,39.98471438412011,43.89305623356178,39.80239073503036
10000000000.0,0.02,134285134638626.6,4.097093043611558,39.939720752882224,43.91809769999982,39.82100465638826
10000000000.0,0.05,134285134638626.6,4.105269410764194,39.882476622637924,43.94995711574906,39.844687704984864
10000000000.0,0.1,134285134638626.6,4.129191726872882,39.84283013472878,43.97202186160166,39.86108825296238
10000000000.0,0.15,134285134638626.6,4.160974078530614,39.82241107005067,43.983385148581284,39.86953284149431
10000000000.0,0.2,134285134638626.6,4.1805095205720235,39.80986157495761,43.99037109552963,39.874727018355344
100000000000.0,0.01,159810809390873.97,3.9641704513984024,40.04728908585868,43.91852315886006,39.95435270746166
100000000000.0,0.02,159810809390873.97,3.9705974268504463,40.002312464790336,43.943561842400385,39.97296441554994
100000000000.0,0.05,159810809390873.97,4.030324082795879,39.94508642695439,43.97541050975027,39.9966388475175
100000000000.0,0.1,134285134638626.6,4.088942498477849,40.033399195471226,43.90468207490526,39.81573957642741
100000000000.0,0.15,134285134638626.6,4.091860227150896,40.012978787624775,43.916047666603625,39.82418743945273
100000000000.0,0.2,134285134638626.6,4.093652862060807,40.00042932965945,43.92302897855681,39.829376116496
320000000000.0,0.01,159810809390873.97,3.953061366479119,40.14356030878416,43.88450464537241,39.93144327889329
320000000000.0,0.02,159810809390873.97,3.9594860173389606,40.09858451149012,43.90954072473795,39.95005470739899
320000000000.0,0.05,159810809390873.97,3.96766416362577,40.04133800901561,43.94140099508765,39.97373683146188
320000000000.0,0.1,159810809390873.97,3.9733263603215008,40.00170296292936,43.96346514138955,39.99013878106805
320000000000.0,0.15,159810809390873.97,3.99355125890812,39.981276637128545,43.974827896036665,39.99858491104779
320000000000.0,0.2,159810809390873.97,4.013079330508049,39.96873097083916,43.98181030134721,40.00377480836577
1000000000000.0,0.01,190188548173222.97,3.8376693175630834,40.10991419853122,43.943973663371864,40.10630434580878
1000000000000.0,0.02,190188548173222.97,3.9040994261053967,40.06491899724391,43.969018423349304,40.12492079654823
1000000000000.0,0.05,159810809390873.97,3.9567876795750365,40.135642201042444,43.90807545520877,39.95128777563373
1000000000000.0,0.1,159810809390873.97,3.9624469658348573,40.095995106005965,43.930140895969906,39.96769393013505
1000000000000.0,0.15,159810809390873.97,3.9653660395803385,40.07557655847701,43.94150306283687,39.976137023256534
1000000000000.0,0.2,159810809390873.97,3.9671581558183036,40.063025969759984,43.94848982016286,39.98133166434456
10000000000000.0,0.01,190188548173222.97,3.8189940339631434,40.27727435938648,43.88954425907277,40.07055022510963
10000000000000.0,0.02,190188548173222.97,3.822435708535359,40.253181727805135,43.90295156857784,40.08051586004248
10000000000000.0,0.05,190188548173222.97,3.8302881347875726,40.19824558780488,43.93353479069975,40.10324665591218
10000000000000.0,0.1,190188548173222.97,3.835948813385876,40.15859860192296,43.95559960147676,40.11965078809089
10000000000000.0,0.15,190188548173222.97,3.838865733876389,40.138184438640394,43.966963564907815,40.128097831031425
10000000000000.0,0.2,190188548173222.97,3.848305360899765,40.125639798018554,43.97394515891832,40.1332873668449
