x,phi,alpha,grad_alpha,P
0.0,0.012468827930430281,1.0,2.499999999999991,-3.469446951953602e-16
0.01,0.01246882793043028,1.025,2.500000000000002,-5.204170427930426e-16
0.02,0.012468827930430276,1.05,2.500000000000002,-8.673617379884043e-16
0.03,0.012468827930430271,1.075,2.500000000000002,-1.3877787807814469e-15
0.04,0.012468827930430262,1.1,2.500000000000002,-1.9081958235744894e-15
0.05,0.012468827930430252,1.125,2.499999999999991,-1.908195823574481e-15
0.06,0.012468827930430243,1.15,2.500000000000002,-1.7347234759768087e-15
0.07,0.012468827930430235,1.175,2.500000000000002,-1.9081958235744894e-15
0.08,0.012468827930430224,1.2,2.500000000000002,-2.0816681711721705e-15
0.09,0.012468827930430214,1.225,2.500000000000002,-2.602085213965213e-15
0.1,0.012468827930430198,1.25,2.499999999999991,-2.9490299091605614e-15
0.11,0.012468827930430184,1.275,2.500000000000002,-2.949029909160575e-15
0.12,0.012468827930430169,1.3,2.500000000000002,-2.7755575615628937e-15
0.13,0.012468827930430157,1.325,2.500000000000002,-2.7755575615628937e-15
0.14,0.012468827930430141,1.35,2.500000000000002,-3.2959746043559362e-15
0.15,0.012468827930430124,1.375,2.499999999999991,-3.469446951953602e-15
0.16,0.012468827930430106,1.4,2.500000000000002,-3.816391647148979e-15
0.17,0.012468827930430085,1.425,2.500000000000002,-4.510281037539702e-15
0.18,0.012468827930430061,1.45,2.500000000000002,-5.204170427930426e-15
0.19,0.012468827930430033,1.475,2.500000000000002,-6.07153216591883e-15
0.2,0.01246882793043,1.5,2.499999999999991,-6.418476861114163e-15
0.21,0.01246882793042997,1.525,2.500000000000002,-6.418476861114192e-15
0.22,0.012468827930429936,1.55,2.5000000000000133,-6.9388939039072655e-15
0.23,0.0124688279304299,1.5750000000000002,2.500000000000002,-7.806255641895638e-15
0.24,0.012468827930429858,1.6,2.499999999999991,-8.326672684688644e-15
0.25,0.012468827930429817,1.625,2.499999999999991,-8.500145032286325e-15
0.26,0.012468827930429773,1.65,2.500000000000002,-8.847089727481724e-15
0.27,0.012468827930429728,1.675,2.5000000000000133,-9.194034422677127e-15
0.28,0.012468827930429681,1.7000000000000002,2.500000000000002,-9.88792381306781e-15
0.29,0.01246882793042963,1.725,2.499999999999991,-1.0061396160665445e-14
0.3,0.01246882793042958,1.75,2.499999999999991,-9.714451465470085e-15
0.31,0.012468827930429532,1.775,2.500000000000002,-1.006139616066549e-14
0.32,0.01246882793042948,1.8,2.5000000000000133,-1.1102230246251625e-14
0.33,0.012468827930429421,1.8250000000000002,2.500000000000002,-1.214306433183766e-14
0.34,0.012468827930429359,1.85,2.499999999999991,-1.2663481374630646e-14
0.35000000000000003,0.012468827930429294,1.875,2.499999999999991,-1.2143064331837607e-14
0.36,0.012468827930429237,1.9,2.500000000000002,-1.17961196366423e-14
0.37,0.012468827930429176,1.925,2.500000000000002,-1.17961196366423e-14
0.38,0.01246882793042912,1.95,2.500000000000002,-1.196959198423998e-14
0.39,0.012468827930429057,1.975,2.500000000000002,-1.2490009027033022e-14
0.4,0.012468827930428994,2.0,2.5000000000000133,-1.2490009027033077e-14
0.41000000000000003,0.012468827930428932,2.0250000000000004,2.499999999999991,-1.3010426069826007e-14
0.42,0.012468827930428864,2.05,2.499999999999991,-1.3183898417423687e-14
0.43,0.0124688279304288,2.075,2.5000000000000133,-1.3010426069826123e-14
0.44,0.012468827930428734,2.1,2.499999999999991,-1.3010426069826007e-14
0.45,0.01246882793042867,2.125,2.5000000000000133,-1.283695372222844e-14
0.46,0.012468827930428606,2.1500000000000004,2.499999999999991,-1.3357370765021367e-14
0.47000000000000003,0.012468827930428536,2.175,2.499999999999991,-1.4051260155412087e-14
0.48,0.012468827930428465,2.2,2.5000000000000133,-1.491862189340062e-14
0.49,0.012468827930428387,2.225,2.499999999999991,-1.4745149545802807e-14
0.5,0.012468827930428318,2.25,2.499999999999991,-1.4398204850607448e-14
0.51,0.012468827930428243,2.275,2.499999999999991,-1.543903893619353e-14
0.52,0.012468827930428163,2.3,2.5000000000000133,-1.613292832658439e-14
0.53,0.012468827930428082,2.325,2.5000000000000133,-1.613292832658439e-14
0.54,0.012468827930428002,2.35,2.499999999999991,-1.5612511283791207e-14
0.55,0.012468827930427926,2.375,2.5000000000000133,-1.5265566588595984e-14
0.56,0.01246882793042785,2.4000000000000004,2.5000000000000133,-1.5439038936193665e-14
0.5700000000000001,0.012468827930427771,2.4250000000000003,2.499999999999991,-1.543903893619353e-14
0.58,0.012468827930427695,2.45,2.499999999999969,-1.4745149545802677e-14
0.59,0.012468827930427624,2.4749999999999996,2.499999999999991,-1.4398204850607448e-14
0.6,0.012468827930427551,2.5,2.5000000000000133,-1.50920942409983e-14
0.61,0.012468827930427473,2.525,2.499999999999991,-1.5092094240998168e-14
0.62,0.0124688279304274,2.55,2.5000000000000133,-1.474514954580294e-14
0.63,0.012468827930427325,2.575,2.5000000000000133,-1.5612511283791346e-14
0.64,0.012468827930427244,2.6,2.499999999999991,-1.613292832658425e-14
0.65,0.012468827930427164,2.625,2.5000000000000133,-1.613292832658439e-14
0.66,0.012468827930427083,2.6500000000000004,2.499999999999991,-1.630640067418193e-14
0.67,0.012468827930427001,2.675,2.499999999999991,-1.5612511283791207e-14
0.68,0.012468827930426927,2.7,2.5000000000000133,-1.474514954580294e-14
0.6900000000000001,0.012468827930426854,2.725,2.499999999999991,-1.4745149545802807e-14
0.7000000000000001,0.012468827930426779,2.75,2.499999999999991,-1.4918621893400487e-14
0.71,0.012468827930426704,2.775,2.499999999999991,-1.457167719820513e-14
0.72,0.012468827930426633,2.8,2.5000000000000133,-1.4224732503009894e-14
0.73,0.012468827930426562,2.825,2.5000000000000133,-1.4398204850607575e-14
0.74,0.01246882793042649,2.85,2.499999999999991,-1.3357370765021367e-14
0.75,0.012468827930426429,2.875,2.499999999999991,-1.2143064331837607e-14
0.76,0.012468827930426368,2.9,2.499999999999991,-1.2316536679435286e-14
0.77,0.012468827930426305,2.925,2.5000000000000133,-1.2490009027033077e-14
0.78,0.012468827930426243,2.95,2.5000000000000133,-1.1796119636642351e-14
0.79,0.012468827930426188,2.975,2.499999999999991,-1.0928757898653845e-14
0.8,0.012468827930426134,3.0,2.5000000000000133,-1.1275702593849306e-14
0.81,0.012468827930426075,3.0250000000000004,2.5000000000000133,-1.1275702593849306e-14
0.8200000000000001,0.012468827930426021,3.0500000000000003,2.499999999999991,-1.0408340855860806e-14
0.8300000000000001,0.01246882793042597,3.075,2.499999999999991,-9.714451465470085e-15
0.84,0.012468827930425924,3.1,2.499999999999991,-9.367506770274725e-15
0.85,0.012468827930425877,3.125,2.499999999999991,-9.367506770274725e-15
0.86,0.01246882793042583,3.15,2.499999999999991,-9.020562075079365e-15
0.87,0.012468827930425787,3.175,2.5000000000000133,-8.326672684688718e-15
0.88,0.012468827930425747,3.2,2.5000000000000133,-7.806255641895673e-15
0.89,0.012468827930425709,3.225,2.499999999999991,-7.632783294297924e-15
0.9,0.01246882793042567,3.25,2.499999999999991,-7.112366251504884e-15
0.91,0.012468827930425638,3.275,2.5000000000000133,-6.765421556309584e-15
0.92,0.012468827930425603,3.3000000000000003,2.5000000000000133,-6.41847686111422e-15
0.93,0.012468827930425573,3.325,2.499999999999991,-5.724587470723443e-15
0.9400000000000001,0.012468827930425546,3.35,2.499999999999991,-5.0306980803327224e-15
0.9500000000000001,0.012468827930425523,3.375,2.499999999999991,-4.163336342344322e-15
0.96,0.012468827930425504,3.4,2.499999999999991,-3.1225022567582417e-15
0.97,0.012468827930425492,3.425,2.5000000000000133,-1.908195823574498e-15
0.98,0.012468827930425485,3.45,2.5000000000000133,-1.3877787807814532e-15
0.99,0.012468827930425478,3.475,2.499999999999991,-1.0408340855860805e-15
1.0,0.012468827930425475,3.5,2.499999999999991,-6.938893903907204e-16
