gamma,P_total
0.1,7.827072323607354e-15
0.2,3.1308289294429414e-14
0.3,6.9111383282916e-14
0.4,1.2523315717771766e-13
0.5,1.942890293094024e-13
0.6,2.76445533131664e-13
0.7,3.808064974464287e-13
0.7999999999999999,5.009326287108705e-13
0.8999999999999999,6.354916592954396e-13
0.9999999999999999,7.771561172376095e-13
1.0999999999999999,9.428013925116827e-13
1.2,1.105782132526656e-12
1.3,1.2816414596272807e-12
1.4,1.5232259897857148e-12
1.5,1.765254609153999e-12
1.5999999999999999,2.003730514843482e-12
1.7,2.234656903965515e-12
1.8,2.5419666371817584e-12
1.9,2.750688565811288e-12
2.0,3.1086244689504383e-12
