Name,z,log_M,SFR,z_type,Reference,t_cosmic_Myr,t_available_Myr,log_M_expected,log_M_excess,is_excess,alpha_rtm
Labbé-1/CEERS-1,7.48,10.6,30.0,phot,Labbé+23,697.9730337101984,598.1134200409689,10.26,0.33999999999999986,True,1.2441487282775905
Labbé-2/CEERS-2,7.96,10.8,45.0,phot,Labbé+23,642.6439270070043,542.7843133377748,10.02,0.7800000000000011,True,1.5460418212637888
Labbé-3/CEERS-3,8.38,10.3,25.0,phot,Labbé+23,599.9681068429348,500.10849317370537,9.809999999999999,0.490000000000002,True,1.3360066991897628
Labbé-4/CEERS-4,8.67,10.2,20.0,phot,Labbé+23,573.1822212837244,473.3226076144949,9.665,0.5350000000000001,True,1.3619414294694756
Labbé-5/CEERS-5,9.97,10.0,15.0,phot,Labbé+23,474.37575116779897,374.5161374985695,9.015,0.9849999999999994,True,1.631284832512281
Labbé-6/CEERS-6,9.04,10.4,35.0,phot,Labbé+23,541.7910831411192,441.9314694718897,9.48,0.9199999999999999,True,1.6122718298193852
GN-z11,10.6,9.0,24.0,spec,Bunker+23,436.2600436304876,336.4004299612581,8.82,0.17999999999999972,True,1.1127334297966536
CEERS-1749,9.2,9.8,28.0,spec,Arrabal Haro+23,529.0931813858646,429.2335677166351,9.4,0.40000000000000036,True,1.2643928428059144
Maisie's Galaxy,11.44,8.7,4.0,spec,Finkelstein+23,392.8274716729031,292.9678580036736,8.568,0.13199999999999967,True,1.0803784817848217
HD1,13.27,9.5,100.0,phot,Harikane+22,319.7396259999945,219.880012330765,8.019,1.4809999999999999,True,1.8552605943113765
CR2-z17-1,16.41,8.8,5.0,phot,Harikane+23,237.26532089173182,137.40570722250234,7.218,1.5820000000000007,True,1.8499900960708937
S5-z16-1,16.01,8.5,3.0,phot,Harikane+23,245.68347819611824,145.82386452688877,7.298,1.202,True,1.6511176766587627
GL-z10,10.1,9.4,12.0,phot,Naidu+22,466.06657120763475,366.2069575384053,8.97,0.4299999999999997,True,1.2742374103355218
GL-z12,12.2,9.0,6.0,phot,Naidu+22,359.394581845343,259.5349681761135,8.34,0.6600000000000001,True,1.3926559308108444
PRIMER-z10,10.2,9.1,8.0,phot,Donnan+23,459.838561956824,359.9789482875945,8.94,0.16000000000000014,True,1.1016630141323802
PRIMER-z9,9.45,9.3,12.0,phot,Donnan+23,510.2205970595634,410.3609833903339,9.275,0.025000000000000355,True,1.0163540381239078
UHZ1,10.1,10.6,50.0,spec,Bogdan+23,466.06657120763475,366.2069575384053,8.97,1.629999999999999,True,2.039551113597443
UNCOVER-z12,12.39,8.3,2.5,phot,UNCOVER,351.77223394770937,251.9126202784799,8.283,0.017000000000001236,True,1.0100581546794034
UNCOVER-z10,10.17,9.2,10.0,spec,UNCOVER,461.69233304306687,361.8327193738374,8.949,0.25099999999999945,True,1.1596611103574939
UNCOVER-45924,9.51,9.4,15.0,spec,UNCOVER,505.85768042114074,405.99806675191127,9.245000000000001,0.15499999999999936,True,1.1011482562762454
GLASS-z12,12.11,8.5,3.0,spec,GLASS,363.1017857247728,263.24217205554334,8.367,0.13299999999999912,True,1.0793364827464587
GLASS-z10,10.42,8.9,7.0,spec,GLASS,446.614960154087,346.7553464848575,8.874,0.0259999999999998,True,1.0163882847991987
GHZ2/GLASS-z12,12.34,8.6,4.0,spec,Castellano+23,353.75181593787715,253.89220226864768,8.298,0.3019999999999996,True,1.178938177308642
GHZ1/GLASS-z10,10.6,9.0,8.0,spec,Castellano+23,436.2600436304876,336.4004299612581,8.82,0.17999999999999972,True,1.1127334297966536
