Name,z,log_M,SFR,z_type,Reference,t_cosmic_Myr,t_available_Myr,log_M_expected,log_M_excess,is_excess,alpha_rtm
Labbé-1/CEERS-1,7.48,10.6,30.0,phot,Labbé+23,697.9730337101984,598.1134200409689,10.26,0.33999999999999986,True,1.2441487282775905
Labbé-2/CEERS-2,7.96,10.8,45.0,phot,Labbé+23,642.6439270070043,542.7843133377748,10.02,0.7800000000000011,True,1.5460418212637888
Labbé-3/CEERS-3,8.38,10.3,25.0,phot,Labbé+23,599.9681068429348,500.10849317370537,9.809999999999999,0.490000000000002,True,1.3360066991897628
Labbé-4/CEERS-4,8.67,10.2,20.0,phot,Labbé+23,573.1822212837244,473.3226076144949,9.665,0.5350000000000001,True,1.3619414294694756
Labbé-5/CEERS-5,9.97,10.0,15.0,phot,Labbé+23,474.37575116779897,374.5161374985695,9.015,0.9849999999999994,True,1.631284832512281
Labbé-6/CEERS-6,9.04,10.4,35.0,phot,Labbé+23,541.7910831411192,441.9314694718897,9.48,0.9199999999999999,True,1.6122718298193852
JADES-GS-z13-0,13.2,8.0,1.5,spec,Curtis-Lake+23,322.1068092082537,222.24719553902423,8.040000000000001,-0.040000000000000924,False,1.0
JADES-GS-z12-0,12.63,8.2,2.0,spec,Curtis-Lake+23,342.52213197035553,242.66251830112606,8.211,-0.011000000000001009,False,1.0
JADES-GS-z11-0,11.58,8.5,3.0,spec,Bunker+23,386.2882166730716,286.4286030038421,8.526,-0.0259999999999998,False,1.0
JADES-GS-z10-0,10.38,8.8,4.0,spec,Robertson+23,448.9717643012313,349.1121506320018,8.886,-0.08599999999999852,False,1.0
JADES-GS+53.12295-27.79640,9.43,9.1,8.0,spec,JADES,511.6888572084238,411.82924353919435,9.285,-0.1850000000000005,False,1.0
JADES-GS+53.13286-27.81890,8.87,9.0,6.0,spec,JADES,555.8488267247707,455.9892130555412,9.565000000000001,-0.5650000000000013,False,1.0
JADES-GS+53.15492-27.77355,7.98,9.3,12.0,spec,JADES,640.4982054885749,540.6385918193454,10.01,-0.7099999999999991,False,1.0
JADES-GS+53.16746-27.77261,7.65,9.5,15.0,spec,JADES,677.4983800311735,577.638766361944,10.175,-0.6750000000000007,False,1.0
JADES-14924,6.71,9.8,25.0,spec,JADES,805.1019068010885,705.242293131859,10.645,-0.8449999999999989,False,1.0
JADES-18846,6.33,9.6,18.0,spec,JADES,868.5132738557348,768.6536601865054,10.835,-1.2350000000000012,False,1.0
GN-z11,10.6,9.0,24.0,spec,Bunker+23,436.2600436304876,336.4004299612581,8.82,0.17999999999999972,True,1.1127334297966536
GN-z9,9.38,9.2,15.0,spec,Naidu+22,515.3904797448351,415.5308660756057,9.309999999999999,-0.10999999999999943,False,1.0
GN-z8,8.68,9.4,20.0,spec,Naidu+22,572.29425512176,472.4346414525305,9.66,-0.2599999999999998,False,1.0
CEERS-1749,9.2,9.8,28.0,spec,Arrabal Haro+23,529.0931813858646,429.2335677166351,9.4,0.40000000000000036,True,1.2643928428059144
CEERS-2782,8.64,9.5,18.0,spec,Finkelstein+23,575.8599450269974,476.0003313577679,9.68,-0.17999999999999972,False,1.0
CEERS-3210,7.78,9.7,22.0,spec,CEERS,662.5072701412257,562.6476564719962,10.11,-0.41000000000000014,False,1.0
CEERS-7929,8.88,9.3,14.0,spec,CEERS,555.0051402576917,455.1455265884622,9.559999999999999,-0.259999999999998,False,1.0
CEERS-93316,11.04,8.6,5.0,phot,Finkelstein+23,412.5652946248236,312.7056809555941,8.688,-0.08800000000000097,False,1.0
Maisie's Galaxy,11.44,8.7,4.0,spec,Finkelstein+23,392.8274716729031,292.9678580036736,8.568,0.13199999999999967,True,1.0803784817848217
CEERS-698,7.47,9.9,30.0,spec,CEERS,699.209478231714,599.3498645624845,10.265,-0.3650000000000002,False,1.0
CEERS-1236,6.93,9.6,22.0,spec,CEERS,771.8317528872994,671.97213921807,10.535,-0.9350000000000005,False,1.0
HD1,13.27,9.5,100.0,phot,Harikane+22,319.7396259999945,219.880012330765,8.019,1.4809999999999999,True,1.8552605943113765
CR2-z17-1,16.41,8.8,5.0,phot,Harikane+23,237.26532089173182,137.40570722250234,7.218,1.5820000000000007,True,1.8499900960708937
S5-z16-1,16.01,8.5,3.0,phot,Harikane+23,245.68347819611824,145.82386452688877,7.298,1.202,True,1.6511176766587627
GL-z10,10.1,9.4,12.0,phot,Naidu+22,466.06657120763475,366.2069575384053,8.97,0.4299999999999997,True,1.2742374103355218
GL-z12,12.2,9.0,6.0,phot,Naidu+22,359.394581845343,259.5349681761135,8.34,0.6600000000000001,True,1.3926559308108444
NGDEEP-z12,11.9,8.4,3.0,phot,Adams+23,372.0042117126821,272.1445980434526,8.43,-0.02999999999999936,False,1.0
PRIMER-z10,10.2,9.1,8.0,phot,Donnan+23,459.838561956824,359.9789482875945,8.94,0.16000000000000014,True,1.1016630141323802
PRIMER-z9,9.45,9.3,12.0,phot,Donnan+23,510.2205970595634,410.3609833903339,9.275,0.025000000000000355,True,1.0163540381239078
UHZ1,10.1,10.6,50.0,spec,Bogdan+23,466.06657120763475,366.2069575384053,8.97,1.629999999999999,True,2.039551113597443
UNCOVER-z12,12.39,8.3,2.5,phot,UNCOVER,351.77223394770937,251.9126202784799,8.283,0.017000000000001236,True,1.0100581546794034
UNCOVER-z10,10.17,9.2,10.0,spec,UNCOVER,461.69233304306687,361.8327193738374,8.949,0.25099999999999945,True,1.1596611103574939
UNCOVER-45924,9.51,9.4,15.0,spec,UNCOVER,505.85768042114074,405.99806675191127,9.245000000000001,0.15499999999999936,True,1.1011482562762454
GLASS-z12,12.11,8.5,3.0,spec,GLASS,363.1017857247728,263.24217205554334,8.367,0.13299999999999912,True,1.0793364827464587
GLASS-z10,10.42,8.9,7.0,spec,GLASS,446.614960154087,346.7553464848575,8.874,0.0259999999999998,True,1.0163882847991987
GHZ2/GLASS-z12,12.34,8.6,4.0,spec,Castellano+23,353.75181593787715,253.89220226864768,8.298,0.3019999999999996,True,1.178938177308642
GHZ1/GLASS-z10,10.6,9.0,8.0,spec,Castellano+23,436.2600436304876,336.4004299612581,8.82,0.17999999999999972,True,1.1127334297966536
EGS-45693,7.89,9.8,25.0,spec,CEERS,650.2491315600375,550.3895178908081,10.055,-0.254999999999999,False,1.0
EGS-23288,8.15,9.5,18.0,spec,CEERS,622.7314236416693,522.8718099724398,9.925,-0.4250000000000007,False,1.0
EGS-31322,7.62,9.7,22.0,spec,CEERS,681.0382800217424,581.1786663525129,10.19,-0.4900000000000002,False,1.0
SMACS-z8a,8.5,9.2,12.0,spec,ERO,588.6362643862003,488.77665071697083,9.75,-0.5500000000000007,False,1.0
SMACS-z7a,7.66,9.4,16.0,spec,ERO,676.3252228261493,576.4656091569199,10.17,-0.7699999999999996,False,1.0
SMACS-z7b,7.88,9.1,10.0,spec,ERO,651.3478345378235,551.488220868594,10.06,-0.9600000000000009,False,1.0
A2744-z7,7.15,9.6,20.0,spec,UNCOVER,740.7915318581502,640.9319181889207,10.425,-0.8250000000000011,False,1.0
A2744-z8,8.22,9.3,14.0,spec,UNCOVER,615.6530576192479,515.7934439500184,9.89,-0.5899999999999999,False,1.0
JADES-6291,6.05,9.4,15.0,spec,JADES,920.764881748896,820.9052680796665,10.975,-1.5749999999999993,False,1.0
JADES-6841,6.23,9.2,12.0,spec,JADES,886.5943847382932,786.7347710690638,10.885,-1.6850000000000005,False,1.0
CEERS-6145,6.68,9.5,18.0,spec,CEERS,809.8239046214612,709.9642909522317,10.66,-1.1600000000000001,False,1.0
CEERS-5827,6.12,9.3,14.0,spec,CEERS,907.2196156536913,807.3600019844619,10.94,-1.6399999999999988,False,1.0
