Event,M_final,chi_final,SNR,Catalog,Type,tau_ms,f_QNM_Hz,log_M,log_tau,spin_factor,tau_corrected,log_tau_corr,residual_log
GW150914,62.0,0.67,24.4,GWTC-1,BBH,1.163882987071912,272.3760057727271,1.792391689498254,0.0659093199844588,1.6469056787461207,0.7067089524872121,-0.15075940707049182,0.07656189128197287
GW151012,35.6,0.67,9.5,GWTC-1,BBH,0.6682941022541945,474.3627066828393,1.551449997972875,-0.1750323715409199,1.6469056787461207,0.40578772110556044,-0.3917010985958706,0.07656189128197297
GW151226,20.8,0.74,13.0,GWTC-1,BBH,0.4206399542979179,859.1213241051025,1.3180633349627615,-0.3760894784233418,1.8334201217477202,0.22942911409575892,-0.6393514718364738,0.10889144740966467
GW170104,48.7,0.64,13.0,GWTC-1,BBH,0.8890473672229493,339.24359842469335,1.6875289612146342,-0.0510750997997139,1.5836670275094606,0.5613852860352226,-0.25073897445443466,0.06444019978141982
GW170608,17.8,0.69,14.9,GWTC-1,BBH,0.3408331840702359,963.3635943088389,1.250420002308894,-0.4674581282333992,1.6938979318613736,0.20121235031895016,-0.6963453660079765,0.08516613025347469
GW170729,79.5,0.81,10.8,GWTC-1,BBH,1.7648860867101046,240.46483183003545,1.9003671286564705,0.2467166794067042,2.1113531453789465,0.8359028382214773,-0.07784420016452273,0.14939381154600165
GW170809,56.3,0.7,12.4,GWTC-1,BBH,1.0891991083884482,306.9926759904315,1.7505083948513462,0.0371072771573362,1.7190774178467678,0.6335951464901015,-0.1981881582188156,0.08964314310175792
GW170814,53.2,0.72,15.9,GWTC-1,BBH,1.0515983257788624,330.2177544594157,1.7259116322950483,0.0218498860064244,1.7732864105439692,0.5930222661866994,-0.22692899988957688,0.09898251450714407
GW170818,59.4,0.67,11.3,GWTC-1,BBH,1.1150749908398638,284.29818784358724,1.7737864449811935,0.0473040754673983,1.6469056787461207,0.677072770608716,-0.16936465158755226,0.07656189128197273
GW170823,65.4,0.71,11.5,GWTC-1,BBH,1.2787319043539245,266.4144413897559,1.8155777483242672,0.1067795009568984,1.7455042112643149,0.7325859749302496,-0.13514139998857128,0.09424601342839914
GW190408_181802,42.4,0.68,14.7,GWTC-2,BBH,0.8037657097871643,401.316491597903,1.6273658565927327,-0.0948705255984194,1.6698694127861489,0.4813344706075518,-0.3175530353544618,0.08080787860461587
GW190412,37.8,0.67,19.0,GWTC-2,BBH,0.7095931759890042,446.7542951827799,1.577491799837225,-0.1489905696765698,1.6469056787461207,0.43086449038736463,-0.36565929673152053,0.07656189128197308
GW190413_052954,58.0,0.72,8.8,GWTC-2,BBH,1.146479377728835,302.8893885731192,1.7634279935629371,0.0593662472743135,1.7732864105439692,0.6465280345644467,-0.18941263862168775,0.09898251450714435
GW190413_134308,46.0,0.71,9.1,GWTC-2,BBH,0.89941387768013,378.77183623674006,1.662757831681574,-0.0460404156857948,1.7455042112643149,0.5152745389417656,-0.2879613166312646,0.09424601342839907
GW190421_213856,75.5,0.73,10.5,GWTC-2,BBH,1.5092593609683027,234.65188496748533,1.877946951629188,0.1787638781841301,1.802545790959476,0.8372932152613666,-0.07712242794432557,0.10386118735071004
GW190503_185404,61.7,0.72,12.1,GWTC-2,BBH,1.2196168552736053,284.7258433912628,1.7902851640332418,0.0862234177446178,1.7732864105439692,0.6877720643556269,-0.16255546815138341,0.09898251450714397
GW190512_180714,35.2,0.68,12.4,GWTC-2,BBH,0.6672771930308534,483.40395578838303,1.546542663478131,-0.175693718713021,1.6698694127861489,0.3995984284289109,-0.39837622846906345,0.080807878604616
GW190513_205428,52.7,0.75,12.3,GWTC-2,BBH,1.0785742934301523,342.0960150722128,1.7218106152125463,0.0328500651692069,1.8660659830736148,0.5779936525361351,-0.23807693092837626,0.11408371075242857
GW190517_055101,54.6,0.86,11.0,GWTC-2,BBH,1.32034500936014,371.4957812702995,1.7371926427047373,0.1206874282387265,2.4223806235585643,0.5450609192128137,-0.26355495570606635,0.18653904632975718
GW190519_153544,103.0,0.81,13.6,GWTC-2,BBH,2.2865819739766136,185.60149641250308,2.012837224705172,0.3591867754554061,2.1113531453789465,1.082993614299524,0.0346258958841792,0.14939381154600206
