Processor,Family,Qubits,T1_us,T2_us,Year,Source,T2_T1_ratio,log_N,log_T2,log_T1,Era
ibmqx2,Canary,5,50,30,2017,IBM 2017,0.6,0.6989700043360189,1.4771212547196624,1.6989700043360187,2017-2019
ibmq_5_yorktown,Canary,5,52,28,2018,IBM 2018,0.5384615384615384,0.6989700043360189,1.4471580313422192,1.7160033436347992,2017-2019
ibmq_16_melbourne,Canary,16,55,35,2018,IBM 2018,0.6363636363636364,1.2041199826559248,1.5440680443502757,1.7403626894942439,2017-2019
ibmq_16_rueschlikon,Canary,16,48,32,2017,IBM 2017,0.6666666666666666,1.2041199826559248,1.505149978319906,1.6812412373755872,2017-2019
ibmq_montreal,Falcon r4,27,95,85,2020,IBM 2020,0.8947368421052632,1.4313637641589874,1.9294189257142926,1.9777236052888478,2020-2022
ibmq_toronto,Falcon r4,27,100,75,2020,IBM 2020,0.75,1.4313637641589874,1.8750612633917,2.0,2020-2022
ibmq_mumbai,Falcon r5,27,130,95,2021,IBM 2021,0.7307692307692307,1.4313637641589874,1.9777236052888478,2.113943352306837,2020-2022
ibmq_kolkata,Falcon r5.11,27,150,110,2021,arXiv:2410.00916,0.7333333333333333,1.4313637641589874,2.041392685158225,2.1760912590556813,2020-2022
ibmq_hanoi,Falcon r5.11,27,145,105,2021,IBM 2021,0.7241379310344828,1.4313637641589874,2.0211892990699383,2.161368002234975,2020-2022
ibmq_cairo,Falcon r5.11,27,140,100,2021,IBM 2021,0.7142857142857143,1.4313637641589874,2.0,2.146128035678238,2020-2022
ibmq_algiers,Falcon r8,27,180,130,2022,IBM 2022,0.7222222222222222,1.4313637641589874,2.113943352306837,2.255272505103306,2020-2022
ibmq_peekskill,Falcon r10,27,250,180,2023,IBM 2023,0.72,1.4313637641589874,2.255272505103306,2.3979400086720375,2023-2026
ibmq_manhattan,Hummingbird r2,65,85,60,2020,IBM 2020,0.7058823529411765,1.8129133566428555,1.7781512503836436,1.9294189257142926,2020-2022
ibmq_brooklyn,Hummingbird r2,65,90,65,2020,IBM 2020,0.7222222222222222,1.8129133566428555,1.8129133566428555,1.954242509439325,2020-2022
ibm_ithaca,Hummingbird r3,65,95,70,2022,arXiv:2410.00916,0.7368421052631579,1.8129133566428555,1.845098040014257,1.9777236052888478,2020-2022
ibm_washington,Eagle r1,127,90,70,2021,IBM 2021,0.7777777777777778,2.103803720955957,1.845098040014257,1.954242509439325,2020-2022
ibm_kyiv,Eagle r3,127,150,120,2023,arXiv:2410.00916,0.8,2.103803720955957,2.0791812460476247,2.1760912590556813,2023-2026
ibm_sherbrooke,Eagle r3,127,200,155,2024,arXiv:2410.00916,0.775,2.103803720955957,2.1903316981702914,2.3010299956639813,2023-2026
ibm_brisbane,Eagle r3,127,190,145,2024,arXiv:2410.00916,0.7631578947368421,2.103803720955957,2.161368002234975,2.278753600952829,2023-2026
ibm_quebec,Eagle r3,127,185,140,2024,arXiv:2410.00916,0.7567567567567568,2.103803720955957,2.146128035678238,2.2671717284030137,2023-2026
ibm_brussels,Eagle r3,127,175,135,2024,arXiv:2410.00916,0.7714285714285715,2.103803720955957,2.130333768495006,2.2430380486862944,2023-2026
ibm_kyoto,Eagle r3,127,180,140,2024,arXiv:2410.00916,0.7777777777777778,2.103803720955957,2.146128035678238,2.255272505103306,2023-2026
ibm_kawasaki,Eagle r3,127,170,130,2024,arXiv:2410.00916,0.7647058823529411,2.103803720955957,2.113943352306837,2.230448921378274,2023-2026
ibm_rensselaer,Eagle r3,127,165,125,2024,arXiv:2410.00916,0.7575757575757576,2.103803720955957,2.0969100130080562,2.2174839442139063,2023-2026
ibm_torino,Heron r1,133,200,160,2024,arXiv:2410.00916,0.8,2.123851640967086,2.2041199826559246,2.3010299956639813,2023-2026
ibm_fez,Heron r2,156,220,175,2024,arXiv:2410.00916,0.7954545454545454,2.1931245983544616,2.2430380486862944,2.342422680822206,2023-2026
ibm_marrakesh,Heron r2,156,210,165,2024,IBM 2024,0.7857142857142857,2.1931245983544616,2.2174839442139063,2.322219294733919,2023-2026
ibm_strasbourg,Heron r3,156,280,220,2025,IBM 2025,0.7857142857142857,2.1931245983544616,2.342422680822206,2.4471580313422194,2023-2026
ibm_seattle,Osprey r1,433,75,55,2022,arXiv:2410.00916,0.7333333333333333,2.6364878963533656,1.7403626894942439,1.8750612633917,2020-2022
ibm_condor,Condor,1121,65,45,2023,IBM 2023,0.6923076923076923,3.049605612594973,1.6532125137753437,1.8129133566428555,2023-2026
ibm_miami,Nighthawk,120,350,280,2026,IBM Jan 2026,0.8,2.0791812460476247,2.4471580313422194,2.5440680443502757,2023-2026
