year,wolves,moose
1959,20,563
1960,22,529
1961,22,572
1962,23,600
1963,20,700
1964,26,850
1965,28,950
1966,22,900
1967,22,850
1968,17,1100
1969,18,1200
1970,20,1300
1971,23,1400
1972,23,1500
1973,24,1450
1974,31,1350
1975,41,1300
1976,44,1200
1977,34,1050
1978,40,900
1979,50,800
1980,30,670
1981,14,811
1982,14,900
1983,23,832
1984,24,811
1985,22,1025
1986,20,1380
1987,16,1653
1988,12,1397
1989,11,1216
1990,15,1313
1991,12,1600
1992,12,1880
1993,13,2017
1994,15,2422
1995,16,1200
1996,22,500
1997,24,700
1998,25,750
1999,29,850
2000,29,900
2001,19,1100
2002,17,900
2003,19,750
2004,29,540
2005,30,450
2006,30,385
2007,21,530
2008,24,530
2009,24,510
2010,16,515
2011,16,515
2012,9,750
2013,8,1050
2014,9,1250
2015,3,1300
2016,2,1500
2017,2,1475
2018,2,2060
2019,15,2060
2020,14,1876
2021,14,1346
2022,28,967
2023,31,1346
2024,34,980
