country,wave_number,peak_date,peak_daily_cases,dominant_variant
USA,1,2020-04,31000,Original
USA,2,2020-07,77000,Original
USA,3,2021-01,251000,Alpha
USA,4,2021-09,175000,Delta
USA,5,2022-01,806000,Omicron
USA,6,2022-07,145000,BA.5
UK,1,2020-04,5500,Original
UK,2,2021-01,68000,Alpha
UK,3,2021-07,55000,Delta
UK,4,2022-01,275000,Omicron
UK,5,2022-07,85000,BA.5
India,1,2020-09,97000,Original
India,2,2021-05,414000,Delta
India,3,2022-01,347000,Omicron
Brazil,1,2020-07,70000,Original
Brazil,2,2021-03,100000,Gamma
Brazil,3,2021-06,80000,Delta
France,1,2020-04,7500,Original
France,2,2020-11,58000,Original
France,3,2021-04,45000,Alpha
France,4,2022-01,465000,Omicron
France,5,2022-07,175000,BA.5
Germany,1,2020-04,6500,Original
Germany,2,2020-12,33000,Alpha
Germany,3,2021-12,82000,Omicron
Germany,4,2022-10,155000,BA.5
