NAME,MAX_WIND,MIN_PRES,MAX_INTENS,CATEGORY,ALPHA_MEAN,ALPHA_MIN,ALPHA_STD
BLANCA,50.0,998.0,20.0,MODERATE (15-30),1.7359832780651017,1.5743138704071238,0.13597677882770365
CARLOS,45.0,1003.0,20.0,MODERATE (15-30),1.99332199746768,1.9562375434540753,0.06333376240998341
DOLORES,60.0,989.0,25.0,MODERATE (15-30),1.567059802202746,1.3448232509278841,0.1963476109233186
ENRIQUE,80.0,972.0,30.0,RAPID (≥30 kt/24h),1.4218147880059149,1.2029643229061324,0.2586547556861061
FELICIA,125.0,945.0,35.0,RAPID (≥30 kt/24h),1.354903811730373,1.1551228895938146,0.26130235894986314
GUILLERMO,50.0,999.0,15.0,MODERATE (15-30),1.8083254983762098,1.631440309260367,0.1391383661215618
HILDA,75.0,985.0,30.0,RAPID (≥30 kt/24h),1.6393383342799683,1.3413030972429927,0.2819526457084215
IGNACIO,35.0,1004.0,10.0,SLOW (<15),1.984277534205619,1.984277534205619,0.0
KEVIN,55.0,994.0,25.0,MODERATE (15-30),1.7842719823431339,1.445339928381165,0.16765418338654425
LINDA,115.0,953.0,35.0,RAPID (≥30 kt/24h),1.3627825077873768,1.173601771046704,0.21880087681090815
MARTY,40.0,1002.0,0.0,SLOW (<15),1.819470100172574,1.7364844552096501,0.08198616185832386
NORA,75.0,976.0,20.0,MODERATE (15-30),1.546156862273758,1.2243467686861829,0.2589630965832383
OLAF,90.0,975.0,40.0,RAPID (≥30 kt/24h),1.475787180887289,1.2625026557461019,0.21979816070271135
PAMELA,65.0,987.0,20.0,MODERATE (15-30),1.4833839030733313,1.3313331112807136,0.2036782869888756
RICK,90.0,977.0,45.0,RAPID (≥30 kt/24h),1.3616522469747556,1.2643856189774723,0.16417666745648019
AGATHA,95.0,964.0,45.0,RAPID (≥30 kt/24h),1.433958092531824,1.1894237198021456,0.24282667576996012
BLAS,75.0,978.0,30.0,RAPID (≥30 kt/24h),1.488291066389336,1.2457637380991762,0.23967621859570618
CELIA,50.0,997.0,10.0,SLOW (<15),1.7532876689951988,1.5251852805779265,0.17315630800706167
BONNIE,100.0,964.0,25.0,MODERATE (15-30),1.3807125411268772,1.201764272718437,0.17952517374823754
DARBY,120.0,953.0,65.0,RAPID (≥30 kt/24h),1.4041959550098337,1.1841283787000347,0.2778372777234859
ESTELLE,75.0,985.0,30.0,RAPID (≥30 kt/24h),1.4815356737770322,1.328621031596075,0.20548136030985023
FRANK,80.0,976.0,25.0,MODERATE (15-30),1.5303429329393992,1.2423269063464677,0.272034388594213
GEORGETTE,50.0,998.0,15.0,MODERATE (15-30),1.6779243980737149,1.5743138704071238,0.0890940731317433
HOWARD,75.0,983.0,35.0,RAPID (≥30 kt/24h),1.5720253674633773,1.3099823471452847,0.27079672135150223
JAVIER,45.0,999.0,15.0,MODERATE (15-30),1.6446795444862043,1.5440680443502754,0.10863935652624823
KAY,85.0,968.0,35.0,RAPID (≥30 kt/24h),1.3159130992218089,1.18437090581334,0.18768478267580052
MADELINE,55.0,991.0,15.0,MODERATE (15-30),1.5484128942757915,1.3609836079424993,0.18498322524931113
NEWTON,55.0,997.0,25.0,MODERATE (15-30),1.7559572236295309,1.5404763088546396,0.16885179762626393
ORLENE,115.0,954.0,50.0,RAPID (≥30 kt/24h),1.4659460914436802,1.1787621288555494,0.2667666641765308
JULIA,40.0,993.0,,UNKNOWN,1.4671042398438203,1.302012593528411,0.13992694927157986
ROSLYN,115.0,954.0,55.0,RAPID (≥30 kt/24h),1.3742595391298495,1.1721954337940979,0.24178091883123412
ADRIAN,90.0,970.0,35.0,RAPID (≥30 kt/24h),1.3853443400934797,1.2190072257614588,0.18126442941673465
BEATRIZ,75.0,992.0,35.0,RAPID (≥30 kt/24h),1.6856144101070414,1.4937483739734958,0.15374426438786934
CALVIN,110.0,953.0,40.0,RAPID (≥30 kt/24h),1.5293373636809515,1.1626071633541228,0.28530758529192224
DORA,130.0,939.0,45.0,RAPID (≥30 kt/24h),1.224380077124815,1.1418953782272034,0.14905124470101022
EUGENE,60.0,992.0,30.0,RAPID (≥30 kt/24h),1.5735816085404835,1.4165460034809778,0.1723609538724219
FERNANDA,115.0,949.0,65.0,RAPID (≥30 kt/24h),1.4430213408988135,1.154239289537882,0.3046506498345829
GREG,45.0,1000.0,10.0,SLOW (<15),1.782378136457967,1.6532125137753435,0.1755178785529912
HILARY,120.0,940.0,60.0,RAPID (≥30 kt/24h),1.2977702160156155,1.1268676248940999,0.2203925324592932
IRWIN,40.0,998.0,5.0,SLOW (<15),1.5703148674451948,1.4531402670407316,0.13305343939776146
JOVA,140.0,926.0,80.0,RAPID (≥30 kt/24h),1.3786424753011535,1.115289267635562,0.25550595567969403
KENNETH,45.0,1000.0,15.0,MODERATE (15-30),1.769327225087746,1.6232492903979003,0.12212649413479008
LIDIA,120.0,942.0,50.0,RAPID (≥30 kt/24h),1.4515103978959816,1.1346090770042172,0.19446802842094205
MAX,60.0,990.0,30.0,RAPID (≥30 kt/24h),1.5456612538275676,1.3667257913420845,0.15050352902306663
NORMA,115.0,939.0,55.0,RAPID (≥30 kt/24h),1.290134034976209,1.1101469367123342,0.19635801344777445
OTIS,145.0,922.0,93.0,RAPID (≥30 kt/24h),1.5504611337039302,1.1115388340514132,0.3354533547742745
PILAR,55.0,995.0,15.0,MODERATE (15-30),1.6996466744265692,1.4797854129888126,0.14061743148410433
RAMON,40.0,1002.0,5.0,SLOW (<15),1.9256410582874048,1.7739760316291209,0.08689554333887704
