SID,NAME,MAX_WIND,RI_TIME,RI_DELTA,ALPHA_PRE,ALPHA_DURING,ALPHA_MIN,ALPHA_MIN_TIME,LEAD_TIME_H,ALPHA_DROP
2023294N09264,OTIS,145.0,2023-10-25 03:00:00,93.0,1.4381371192272054,1.1962239041795981,1.1115388340514132,2023-10-25 03:00:00,0.0,0.32659828517579226
2023248N12257,JOVA,140.0,2023-09-07 00:00:00,80.0,1.3294889371610057,1.1714107372083693,1.115289267635562,2023-09-07 00:00:00,0.0,0.21419966952544378
2022191N14249,DARBY,120.0,2022-07-11 18:00:00,65.0,1.4855314877732773,1.2319350071678634,1.1841283787000347,2022-07-11 18:00:00,0.0,0.3014031090732425
2023225N14248,FERNANDA,115.0,2023-08-14 12:00:00,65.0,1.5395039760213511,1.2034454183936443,1.154239289537882,2023-08-14 12:00:00,0.0,0.38526468648346923
2023228N12259,HILARY,120.0,2023-08-18 00:00:00,60.0,1.3748264706951994,1.1869326961562396,1.1461705873151102,2023-08-18 00:00:00,0.0,0.22865588338008913
2022293N15259,ROSLYN,115.0,2022-10-22 12:00:00,55.0,1.4445277129597902,1.2152266209556548,1.172969690445077,2022-10-22 12:00:00,0.0,0.27155802251471317
2023290N12256,NORMA,115.0,2023-10-19 12:00:00,55.0,1.3368801701525326,1.1616041431228274,1.1131335838563279,2023-10-19 12:00:00,0.0,0.2237465862962047
2023276N11254,LIDIA,120.0,2023-10-11 00:00:00,50.0,1.2520462012403157,1.1602517824540342,1.1346090770042172,2023-10-11 00:00:00,0.0,0.11743712423609853
2022272N14258,ORLENE,115.0,2022-10-02 12:00:00,50.0,1.2768454755807002,1.1960203475989624,1.1787621288555494,2022-10-02 12:00:00,0.0,0.09808334672515073
2021296N13260,RICK,90.0,2021-10-23 12:00:00,45.0,2.4251685665206337,1.5051101276436543,1.3099823471452847,2021-10-23 12:00:00,0.0,1.115186219375349
2023213N14257,DORA,130.0,2023-08-02 06:00:00,45.0,2.038258008748153,1.4871530011470615,1.361353116146786,2023-08-02 06:00:00,0.0,0.6769048926013672
2022148N13263,AGATHA,95.0,2022-05-29 18:00:00,45.0,1.527496067200977,1.2947973251000149,1.1894237198021456,2022-05-29 18:00:00,0.0,0.3380723473988314
2021250N17254,OLAF,90.0,2021-09-10 00:00:00,40.0,1.4791768243182064,1.2928337350467267,1.270596782186569,2021-09-10 00:00:00,0.0,0.2085800421316375
2023191N10262,CALVIN,110.0,2023-07-14 12:00:00,40.0,1.4093842325041448,1.2129516131062195,1.1836639731484828,2023-07-14 12:00:00,0.0,0.22572025935566198
2021195N13249,FELICIA,125.0,2021-07-15 06:00:00,35.0,2.1904120918577905,1.573993781697519,1.4698784785877308,2021-07-15 06:00:00,0.0,0.7205336132700597
2021222N12262,LINDA,115.0,2021-08-13 18:00:00,35.0,1.3546695951843035,1.2456958613688403,1.2169501614589444,2021-08-13 18:00:00,0.0,0.1377194337253591
2022248N14259,KAY,85.0,2022-09-06 00:00:00,35.0,1.5636746810483608,1.2780730635502937,1.2486852452782133,2022-09-05 21:00:00,3.0,0.3149894357701475
2022219N14255,HOWARD,75.0,2022-08-09 00:00:00,35.0,1.9290652463817213,1.4531546985809627,1.3099823471452847,2022-08-09 00:00:00,0.0,0.6190828992364366
2023179N15256,ADRIAN,90.0,2023-06-28 12:00:00,35.0,1.9498001062732229,1.4382494347972872,1.371113977736713,2023-06-28 12:00:00,0.0,0.5786861285365099
2023180N13264,BEATRIZ,75.0,2023-06-30 12:00:00,35.0,1.8832676103859907,1.659392618252669,1.5323207542362418,2023-06-30 12:00:00,0.0,0.35094685614974885
2021212N12248,HILDA,75.0,2021-08-01 00:00:00,30.0,1.7179907093218545,1.4345085302798615,1.3413030972429927,2021-08-01 00:00:00,0.0,0.3766876120788618
2021176N15259,ENRIQUE,80.0,2021-06-26 12:00:00,30.0,1.7784785013176738,1.3348991043847367,1.2890490078169357,2021-06-26 12:00:00,0.0,0.48942949350073817
2022197N12260,ESTELLE,75.0,2022-07-16 18:00:00,30.0,2.554836901542355,1.6311301040521269,1.445123986448675,2022-07-16 18:00:00,0.0,1.10971291509368
2022165N14258,BLAS,75.0,2022-06-15 18:00:00,30.0,1.5637459897659578,1.3379458403966007,1.2572813631621047,2022-06-15 18:00:00,0.0,0.3064646266038531
2023217N15256,EUGENE,60.0,2023-08-06 06:00:00,30.0,2.3784296709449357,1.6707615815072132,1.445123986448675,2023-08-06 06:00:00,0.0,0.9333056844962608
2023281N14260,MAX,60.0,2023-10-09 18:00:00,30.0,1.801688295019084,1.439024806524292,1.3667257913420845,2023-10-09 18:00:00,0.0,0.4349625036769995
