filename,category,ef_number,event_id,episode_id,DBZ_mean,DBZ_max,DBZ_std,VEL_mean,VEL_max,VEL_std,VEL_rotation,ZDR_mean,ZDR_max,ZDR_std,RHOHV_mean,RHOHV_max,RHOHV_std,KDP_mean,KDP_max,KDP_std,range_span_km,alpha_rtm
TOR_210317_000252_KDGX_951088_S7.nc,TOR,1.0,951088,156918,16.646145,66.5,17.12059,-4.235337,32.75,3.9440105,46.0,3.275838,20.0,4.4628844,0.91772616,1.0517578,0.17767194,0.24255928,6.75,0.66256917,59.75,0.93605936
TOR_210317_005823_KDGX_951089_S7.nc,TOR,0.0,951089,156918,22.219168,62.5,16.963379,-3.6356566,22.5,3.8460085,32.5,1.7509038,20.0,2.3379443,0.941764,1.0517578,0.14186992,0.2908655,6.296875,0.5520232,59.75,0.8511237
TOR_210317_170032_KDGX_947194_X6.nc,TOR,2.0,947194,156735,21.165903,59.5,15.551014,-2.4522572,24.0,5.563242,48.375,1.0946196,20.0,1.6056937,0.9876451,1.0517578,0.05923955,0.19653188,4.6015625,0.5046844,59.75,0.9483673
TOR_210317_170807_KDGX_947194_X6.nc,TOR,2.0,947194,156735,22.000128,59.5,14.968367,-0.73656434,25.375,5.508063,48.375,1.0277727,20.0,1.4641367,0.9876921,1.0517578,0.05228107,0.20595646,4.6015625,0.50800025,59.75,0.9483673
TOR_210317_171541_KDGX_947194_V9.nc,TOR,2.0,947194,156735,19.795109,59.5,13.961131,-1.2714804,24.0,5.6594834,48.375,0.9090411,20.0,1.4901503,0.98750854,1.0517578,0.05427783,0.13959226,4.3515625,0.44486025,59.75,0.9483673
TOR_210317_172315_KDGX_947194_V9.nc,TOR,2.0,947194,156735,21.194647,60.0,14.172674,0.0020537456,28.9375,5.557464,36.5,0.94992894,20.0,1.4195781,0.98649734,1.0517578,0.051317334,0.14397633,4.3515625,0.45439187,59.75,0.879502
TOR_210317_172957_KBMX_944744_B9.nc,TOR,0.0,944744,156425,16.077242,60.5,9.846857,-18.318995,10.5,3.142694,29.125,0.62107146,20.0,1.496254,0.9954885,1.0517578,0.06111837,0.045362048,6.796875,0.31627026,59.75,0.82431716
TOR_210317_172957_KBMX_944749_H2.nc,TOR,2.0,944749,156425,14.843784,61.0,13.237863,-17.413118,16.5,2.6606877,26.0,0.77922034,20.0,1.6474571,0.995007,1.0517578,0.061367773,0.050415013,3.546875,0.23010443,59.75,0.7965676
TOR_210317_173653_KBMX_944749_H2.nc,TOR,2.0,944749,156425,14.571751,62.5,13.606346,-17.210184,4.5,2.7285051,24.125,0.8249423,20.0,1.7333586,0.9928242,1.0517578,0.068387434,0.048663758,3.5,0.22521715,59.75,0.77826816
TOR_210317_174350_KBMX_944749_H2.nc,TOR,2.0,944749,156425,14.451105,63.0,14.043362,-17.01322,14.5,2.944899,27.875,0.892244,20.0,1.8130811,0.99132055,1.0517578,0.072939135,0.047432866,3.703125,0.21746403,59.75,0.81359226
TOR_210317_175647_KBMX_944763_B9.nc,TOR,1.0,944763,156425,17.993513,68.0,11.471642,-17.659435,16.5,4.3000326,35.5,0.6784938,20.0,1.407089,0.99255747,1.0517578,0.055969693,0.05514394,5.453125,0.31943765,59.75,0.8727102
TOR_210317_180311_KBMX_944763_B9.nc,TOR,1.0,944763,156425,19.000603,68.0,12.383627,-17.136417,16.5,4.3075757,39.5,0.66696644,20.0,1.3904616,0.99133104,1.0517578,0.055707507,0.06941017,6.6484375,0.3678357,59.75,0.8988138
TOR_210317_180955_KBMX_944763_B9.nc,TOR,1.0,944763,156425,20.190315,66.5,13.144888,-16.790638,15.5,4.3792963,37.1875,0.71976537,20.0,1.384672,0.9896903,1.0517578,0.054499734,0.105999894,7.046875,0.46521893,59.75,0.8840643
TOR_210317_181542_KDGX_951178_R5.nc,TOR,1.0,951178,157343,8.721966,60.5,15.902621,-18.762226,21.0,4.830402,47.375,1.4152513,20.0,2.6401381,0.95718056,1.0517578,0.13368237,0.069972895,4.5,0.29624316,59.75,0.9432604
TOR_210317_181638_KBMX_944763_B9.nc,TOR,1.0,944763,156425,21.94359,65.5,13.793442,-16.447197,17.5,4.510355,42.6875,0.80473405,20.0,1.3377546,0.98652685,1.0517578,0.051416762,0.13616022,6.953125,0.50992966,59.75,0.9177875
TOR_210317_182238_KBMX_944794_H2.nc,TOR,1.0,944794,156425,14.007916,67.5,15.026418,-14.594443,12.0,3.3765273,35.125,0.6998586,20.0,1.53657,0.9766433,1.0517578,0.08809857,0.06279124,5.3515625,0.26261815,59.75,0.8701139
TOR_210317_182316_KDGX_951178_Z4.nc,TOR,1.0,951178,157343,12.195297,61.0,15.271011,-19.657913,14.5,4.01116,31.5,1.503858,20.0,2.2851558,0.97226965,1.0517578,0.10257169,0.07546073,4.5,0.31119934,59.75,0.8434828
TOR_210317_185623_KBMX_944813_H2.nc,TOR,1.0,944813,156425,14.915452,60.5,13.55811,-10.634108,32.6875,3.5233133,45.6875,0.6807511,20.0,1.6729456,0.93153423,1.0517578,0.13254617,0.07938288,3.296875,0.27087608,59.75,0.9343928
TOR_210317_190320_KBMX_944813_H2.nc,TOR,1.0,944813,156425,13.828308,60.0,13.718919,-9.561489,33.6875,3.7466967,45.1875,0.6265007,20.0,1.6738836,0.93215793,1.0517578,0.13275324,0.07153578,3.25,0.25119007,59.75,0.9317024
TOR_210317_190320_KBMX_944848_P7.nc,TOR,0.0,944848,156425,25.772661,61.5,11.68838,-17.136906,16.0,4.8909907,52.125,0.899098,20.0,1.0459523,0.98182434,1.0517578,0.041734144,0.12748048,5.1484375,0.40253025,59.75,0.9666213
TOR_210317_190943_KBMX_944864_B9.nc,TOR,1.0,944864,156425,27.945854,66.5,11.006326,-12.035614,28.0,6.051921,56.0,0.8802461,20.0,0.82318276,0.98620766,1.0517578,0.028566964,0.13287143,8.8984375,0.41459605,59.75,0.98415273
