Name,z,log_M_star,SFR,z_type,Reference,log_M_max_alpha1,excess_dex,A_factor_alpha1,cosmic_age_Myr,available_time_Myr
Labbé-1/CEERS-1,7.48,10.6,30.0,phot,Labbé+23,10.802,-0.202,13.88,697.4,597.6
Labbé-2/CEERS-2,7.96,10.8,45.0,phot,Labbé+23,10.682,0.118,15.08,642.2,542.4
Labbé-3/CEERS-3,8.38,10.3,25.0,phot,Labbé+23,10.577,-0.277,16.14,599.6,499.8
Labbé-4/CEERS-4,8.67,10.2,20.0,phot,Labbé+23,10.504,-0.304,16.9,572.9,473.0
Labbé-5/CEERS-5,9.97,10.0,15.0,phot,Labbé+23,10.179,-0.179,20.41,474.2,374.3
Labbé-6/CEERS-6,9.04,10.4,35.0,phot,Labbé+23,10.412,-0.012,17.87,541.5,441.7
JADES-GS-z13-0,13.2,8.0,1.5,spec,Curtis-Lake+23,9.372,-1.372,30.04,322.0,222.2
JADES-GS-z12-0,12.63,8.2,2.0,spec,Curtis-Lake+23,9.514,-1.314,28.25,342.4,242.6
JADES-GS-z11-0,11.58,8.5,3.0,spec,Bunker+23,9.777,-1.277,25.06,386.1,286.3
JADES-GS-z10-0,10.38,8.8,4.0,spec,Robertson+23,10.077,-1.277,21.56,448.8,348.9
JADES-GS+53.12295-27.79640,9.43,9.1,8.0,spec,JADES,10.314,-1.214,18.92,511.4,411.6
JADES-GS+53.13286-27.81890,8.87,9.0,6.0,spec,JADES,10.454,-1.454,17.42,555.5,455.7
JADES-GS+53.15492-27.77355,7.98,9.3,12.0,spec,JADES,10.677,-1.377,15.13,640.1,540.2
JADES-GS+53.16746-27.77261,7.65,9.5,15.0,spec,JADES,10.759,-1.259,14.3,677.0,577.2
JADES-14924,6.71,9.8,25.0,spec,JADES,10.994,-1.194,12.04,804.3,704.5
JADES-18846,6.33,9.6,18.0,spec,JADES,11.089,-1.489,11.17,867.6,767.7
GN-z11,10.6,9.0,24.0,spec,Bunker+23,10.022,-1.022,22.19,436.1,336.2
GN-z9,9.38,9.2,15.0,spec,Naidu+22,10.327,-1.127,18.79,515.1,415.3
GN-z8,8.68,9.4,20.0,spec,Naidu+22,10.502,-1.102,16.92,572.0,472.1
CEERS-1749,9.2,9.8,28.0,spec,Arrabal Haro+23,10.372,-0.572,18.3,528.8,429.0
CEERS-2782,8.64,9.5,18.0,spec,Finkelstein+23,10.512,-1.012,16.82,575.5,475.7
CEERS-3210,7.78,9.7,22.0,spec,CEERS,10.727,-1.027,14.62,662.0,562.2
CEERS-7929,8.88,9.3,14.0,spec,CEERS,10.452,-1.152,17.45,554.7,454.9
CEERS-93316,11.04,8.6,5.0,phot,Finkelstein+23,9.912,-1.312,23.46,412.4,312.6
Maisie's Galaxy,11.44,8.7,4.0,spec,Finkelstein+23,9.812,-1.112,24.64,392.7,292.8
CEERS-698,7.47,9.9,30.0,spec,CEERS,10.804,-0.904,13.86,698.7,598.8
CEERS-1236,6.93,9.6,22.0,spec,CEERS,10.939,-1.339,12.56,771.1,671.3
HD1,13.27,9.5,100.0,phot,Harikane+22,9.354,0.146,30.27,319.6,219.8
CR2-z17-1,16.41,8.8,5.0,phot,Harikane+23,8.81,-0.01,40.78,237.2,137.4
S5-z16-1,16.01,8.5,3.0,phot,Harikane+23,8.87,-0.37,39.38,245.6,145.8
GL-z10,10.1,9.4,12.0,phot,Naidu+22,10.147,-0.747,20.77,465.9,366.0
GL-z12,12.2,9.0,6.0,phot,Naidu+22,9.622,-0.622,26.93,359.3,259.4
NGDEEP-z12,11.9,8.4,3.0,phot,Adams+23,9.697,-1.297,26.02,371.9,272.0
PRIMER-z10,10.2,9.1,8.0,phot,Donnan+23,10.122,-1.022,21.05,459.6,359.8
PRIMER-z9,9.45,9.3,12.0,phot,Donnan+23,10.309,-1.009,18.98,510.0,410.1
UHZ1,10.1,10.6,50.0,spec,Bogdan+23,10.147,0.453,20.77,465.9,366.0
UNCOVER-z12,12.39,8.3,2.5,phot,UNCOVER,9.574,-1.274,27.51,351.7,251.8
UNCOVER-z10,10.17,9.2,10.0,spec,UNCOVER,10.129,-0.929,20.97,461.5,361.6
