city,population_millions,congestion_index,avg_speed_peak_kmh,road_km_per_capita
Mumbai,21.0,65,18,0.8
Bogotá,11.3,63,19,1.2
Lima,10.9,58,22,1.0
New Delhi,32.9,56,21,0.6
Moscow,12.5,54,23,2.5
Istanbul,15.5,52,24,1.8
Kyiv,3.0,51,25,2.0
Bucharest,2.2,50,26,2.8
London,9.5,37,28,3.5
Paris,11.0,36,29,3.2
Los Angeles,13.2,34,30,4.2
New York,18.8,32,31,3.8
São Paulo,22.4,46,22,1.5
Mexico City,21.8,52,21,1.3
Bangkok,10.7,53,20,1.1
Jakarta,10.6,51,21,0.9
Manila,13.9,48,22,0.7
Tokyo,37.4,26,35,4.5
Beijing,21.5,40,28,2.2
Shanghai,28.5,38,29,2.0
Berlin,3.6,28,32,4.8
Madrid,6.8,25,34,3.5
Rome,4.3,34,30,3.0
Sydney,5.4,29,33,5.2
Melbourne,5.1,27,34,5.0
