State,Study,Conscious,Simulated_Slope
Wakefulness,Propofol-Scalp,True,-1.3929572622898907
Wakefulness,Propofol-Scalp,True,-1.9644378710540662
Wakefulness,Propofol-Scalp,True,-1.257080315709377
Wakefulness,Propofol-Scalp,True,-0.4692731292327774
Wakefulness,Propofol-Scalp,True,-2.0507380372510022
Wakefulness,Propofol-Scalp,True,-2.0507232612542627
Wakefulness,Propofol-Scalp,True,-0.418708466043348
Wakefulness,Propofol-Scalp,True,-1.1493087437623823
Wakefulness,Propofol-Scalp,True,-2.262526947341457
Propofol Anesthesia,Propofol-Scalp,False,-2.7744639738484214
Propofol Anesthesia,Propofol-Scalp,False,-3.3780506156874774
Propofol Anesthesia,Propofol-Scalp,False,-3.3794378521421544
Propofol Anesthesia,Propofol-Scalp,False,-2.9548226370603796
Propofol Anesthesia,Propofol-Scalp,False,-4.247968146794679
Propofol Anesthesia,Propofol-Scalp,False,-4.13495069950782
Propofol Anesthesia,Propofol-Scalp,False,-3.437372517544584
Propofol Anesthesia,Propofol-Scalp,False,-3.7076986722006544
Propofol Anesthesia,Propofol-Scalp,False,-2.911451600442836
Wake (pre-sleep),Sleep-Scalp,True,-2.747296853937239
Wake (pre-sleep),Sleep-Scalp,True,-3.0179216994544653
Wake (pre-sleep),Sleep-Scalp,True,-1.4734503331726057
Wake (pre-sleep),Sleep-Scalp,True,-2.3811642773431148
Wake (pre-sleep),Sleep-Scalp,True,-2.2237605625406274
Wake (pre-sleep),Sleep-Scalp,True,-3.024600110846276
Wake (pre-sleep),Sleep-Scalp,True,-2.552146426675564
Wake (pre-sleep),Sleep-Scalp,True,-2.200472691800421
Wake (pre-sleep),Sleep-Scalp,True,-2.8776879713876644
Wake (pre-sleep),Sleep-Scalp,True,-2.0583792860721073
Wake (pre-sleep),Sleep-Scalp,True,-2.5823365457379674
Wake (pre-sleep),Sleep-Scalp,True,-2.4165392927558997
Wake (pre-sleep),Sleep-Scalp,True,-2.582909652989449
Wake (pre-sleep),Sleep-Scalp,True,-1.265963215887548
Wake (pre-sleep),Sleep-Scalp,True,-2.2672433708851867
Wake (pre-sleep),Sleep-Scalp,True,-2.8276272490455625
Wake (pre-sleep),Sleep-Scalp,True,-1.818576078877763
Wake (pre-sleep),Sleep-Scalp,True,-2.9151734538961995
Wake (pre-sleep),Sleep-Scalp,True,-2.1479120328506514
Wake (pre-sleep),Sleep-Scalp,True,-3.3116693465129465
N3 (deep NREM),Sleep-Scalp,False,-3.934584572578675
N3 (deep NREM),Sleep-Scalp,False,-3.3207648810031634
N3 (deep NREM),Sleep-Scalp,False,-3.1027729350433257
N3 (deep NREM),Sleep-Scalp,False,-3.331025597332947
N3 (deep NREM),Sleep-Scalp,False,-3.4465475357622153
N3 (deep NREM),Sleep-Scalp,False,-3.5211918996905296
N3 (deep NREM),Sleep-Scalp,False,-3.995093621804174
