stage,beta,alpha_rtm,subject
Wake,1.274507122951685,1.5692340701620526,SYN000
Wake,1.1792603548243223,1.695978323885861,SYN001
Wake,1.2971532807151038,1.541837830373775,SYN002
Wake,1.4284544784612037,1.4001146204914359,SYN003
Wake,1.1648769937914996,1.7169194779015255,SYN004
Wake,1.1648794564576228,1.7169158481702163,SYN005
Wake,1.4368819223261087,1.391902820213844,SYN006
Wake,1.3151152093729364,1.5207793094824182,SYN007
Wake,1.1295788421097572,1.7705714071844016,SYN008
Wake,1.2813840065378947,1.5608123636595845,SYN009
Wake,1.1304873460781306,1.7691485065607937,SYN010
Wake,1.1301405369644615,1.7696914096825218,SYN011
Wake,1.2362943407349052,1.6177377296826547,SYN012
Wake,0.9130079633013303,2.190561397480295,SYN013
Wake,0.941262325123045,2.124806174238997,SYN014
Wake,1.115656870613854,1.7926658748577102,SYN015
Wake,1.0480753319498364,1.9082597777386914,SYN016
Wake,1.247137099889291,1.6036729243140477,SYN017
Wake,1.0637963886718182,1.880059023792194,SYN018
Wake,0.9881544447997063,2.023975108876214,SYN019
Wake,1.4198473153382332,1.4086021633414605,SYN020
Wake,1.1661335549270195,1.7150694202647883,SYN021
Wake,1.2101292307031886,1.6527160482172876,SYN022
Wake,0.9862877720679815,2.027805734432391,SYN023
Wake,1.1183425913212226,1.788360754138119,SYN024
Wake,1.21663838845648,1.6438738239530253,SYN025
Wake,1.0273509633866547,1.9467543919042185,SYN026
Wake,1.2563547027518507,1.591907122741141,SYN027
Wake,1.1099041965121792,1.801957327744957,SYN028
Wake,1.1562459375310083,1.7297358071334747,SYN029
Wake,1.1097440081655905,1.8022174350875793,SYN030
Wake,1.4778417276763407,1.3533248943678604,SYN031
Wake,1.19797541628931,1.6694833406472858,SYN032
Wake,1.041343360656615,1.9205961026523546,SYN033
Wake,1.3233817368154783,1.5112797346083249,SYN034
Wake,1.0168734525043466,1.9668130730273452,SYN035
Wake,1.2313295392507133,1.6242605543411528,SYN036
Wake,0.9060494814180337,2.207384961878521,SYN037
Wake,1.0007720926652355,1.998457006003876,SYN038
Wake,1.2295291853803685,1.6266388986783407,SYN039
Wake,1.3107699869993115,1.5258207159430868,SYN040
Wake,1.2257052421784955,1.631713670772362,SYN041
Wake,1.1826527576417638,1.6911134625754773,SYN042
Wake,1.1548344456616066,1.7318499699359042,SYN043
Wake,0.9782217014448858,2.044526304257913,SYN044
Wake,1.0920233687407936,1.8314626383006707,SYN045
Wake,1.130904184356032,1.7684964187650039,SYN046
Wake,1.3585683339328374,1.4721379484904678,SYN047
Wake,1.251542743435269,1.5980277225772928,SYN048
Wake,0.9355439766955899,2.137793679206986,SYN049
Wake,1.2486125954092193,1.601777851155283,SYN050
Wake,1.1422376579375524,1.7509491007425204,SYN051
Wake,1.0984616999541061,1.8207280236384757,SYN052
Wake,1.2917514433261301,1.5482854773130357,SYN053
Wake,1.3546499283743927,1.4763961951410136,SYN054
Wake,1.3396920178674296,1.4928804332085763,SYN055
Wake,1.0741173715166041,1.8619939059137387,SYN056
Wake,1.1536181436223178,1.7336759230572387,SYN057
Wake,1.2496895147105345,1.6003975199097833,SYN058
Wake,1.3463317690683538,1.4855179428648386,SYN059
Wake,1.1281238643232065,1.7728549703182253,SYN060
Wake,1.1721511535004274,1.7062645837333732,SYN061
Wake,1.0340497538990958,1.9341429099118215,SYN062
Wake,1.0205690063878994,1.9596911012206821,SYN063
Wake,1.3218788733591296,1.5129979306785075,SYN064
Wake,1.4034360042856233,1.4250738857295024,SYN065
Wake,1.18919848176295,1.6818050398408362,SYN066
Wake,1.3505299346838036,1.4809001626966938,SYN067
Wake,1.254245403757145,1.5945842767363672,SYN068
Wake,1.1032320368092314,1.8128552591569056,SYN069
Wake,1.254209340826262,1.5946301266441036,SYN070
Wake,1.4307054849698952,1.3979117442483866,SYN071
Wake,1.1946260941335072,1.6741639997832554,SYN072
