country,total_cases,total_deaths,population_millions,cases_per_million,cfr_percent
United States,103802702,1123836,331.9,312752.94365772826,1.0826654589395948
China,99272087,120975,1412.0,70306.01062322946,0.1218620497018462
India,44690738,530779,1408.0,31740.580965909092,1.1876711456409603
France,38560229,167642,67.4,572110.2225519287,0.4347536421529032
Germany,38249060,174979,83.2,459724.2788461538,0.4574726803743674
Brazil,37076053,699917,214.3,173010.04666355575,1.8877872463932448
Japan,33803572,74694,125.7,268922.60938743036,0.2209648140143296
South Korea,30616027,34240,51.8,591042.9922779923,0.11183684937304243
Italy,25603510,188322,59.1,433223.51945854485,0.7355319641720999
UK,24658705,220721,67.5,365314.14814814815,0.8951037777531302
Russia,22075858,399837,144.1,153198.18181818182,1.8111957415199897
Turkey,17042722,101492,85.0,200502.61176470589,0.5955151999780317
Spain,13770429,119479,47.4,290515.37974683545,0.8676490761471556
Vietnam,11526994,43186,98.2,117382.83095723014,0.3746510148265888
Australia,11401961,22884,25.7,443656.0700389105,0.20070231778551076
Argentina,10044957,130472,45.8,219322.2052401747,1.2988806223859395
Taiwan,10003611,19126,23.9,418561.12970711297,0.19119096094400312
Netherlands,8610883,22992,17.5,492050.45714285714,0.2670109441737857
Iran,7572311,146391,87.9,86146.88282138793,1.9332407240009029
Mexico,7483444,333195,130.3,57432.41749808135,4.4524285876930465
Indonesia,6738225,161712,276.4,24378.527496382056,2.3999198602005722
Poland,6512629,118432,37.7,172748.7798408488,1.8184975683399132
Colombia,6360787,142622,51.5,123510.42718446603,2.2422068212628408
Austria,5915927,22218,9.0,657325.2222222222,0.37556244355280244
Portugal,5569851,26030,10.3,540762.2330097087,0.46733745660341725
Ukraine,5471966,116537,43.5,125792.32183908045,2.1297098702733166
Malaysia,5044009,36954,32.7,154251.03975535167,0.7326315238533476
Thailand,4728414,34051,70.0,67548.77142857143,0.7201357579941181
Israel,4813897,12498,9.2,523249.6739130435,0.2596233363530628
Chile,5330536,64804,19.5,273360.8205128205,1.2157126412803516
