Name,z,log_M,SFR,z_type,Reference
Labbé-1/CEERS-1,7.48,10.6,30.0,phot,Labbé+23
Labbé-2/CEERS-2,7.96,10.8,45.0,phot,Labbé+23
Labbé-3/CEERS-3,8.38,10.3,25.0,phot,Labbé+23
Labbé-4/CEERS-4,8.67,10.2,20.0,phot,Labbé+23
Labbé-5/CEERS-5,9.97,10.0,15.0,phot,Labbé+23
Labbé-6/CEERS-6,9.04,10.4,35.0,phot,Labbé+23
JADES-GS-z13-0,13.2,8.0,1.5,spec,Curtis-Lake+23
JADES-GS-z12-0,12.63,8.2,2.0,spec,Curtis-Lake+23
JADES-GS-z11-0,11.58,8.5,3.0,spec,Bunker+23
JADES-GS-z10-0,10.38,8.8,4.0,spec,Robertson+23
JADES-GS+53.12295-27.79640,9.43,9.1,8.0,spec,JADES
JADES-GS+53.13286-27.81890,8.87,9.0,6.0,spec,JADES
JADES-GS+53.15492-27.77355,7.98,9.3,12.0,spec,JADES
JADES-GS+53.16746-27.77261,7.65,9.5,15.0,spec,JADES
JADES-14924,6.71,9.8,25.0,spec,JADES
JADES-18846,6.33,9.6,18.0,spec,JADES
GN-z11,10.6,9.0,24.0,spec,Bunker+23
GN-z9,9.38,9.2,15.0,spec,Naidu+22
GN-z8,8.68,9.4,20.0,spec,Naidu+22
CEERS-1749,9.2,9.8,28.0,spec,Arrabal Haro+23
CEERS-2782,8.64,9.5,18.0,spec,Finkelstein+23
CEERS-3210,7.78,9.7,22.0,spec,CEERS
CEERS-7929,8.88,9.3,14.0,spec,CEERS
CEERS-93316,11.04,8.6,5.0,phot,Finkelstein+23
Maisie's Galaxy,11.44,8.7,4.0,spec,Finkelstein+23
CEERS-698,7.47,9.9,30.0,spec,CEERS
CEERS-1236,6.93,9.6,22.0,spec,CEERS
HD1,13.27,9.5,100.0,phot,Harikane+22
CR2-z17-1,16.41,8.8,5.0,phot,Harikane+23
S5-z16-1,16.01,8.5,3.0,phot,Harikane+23
GL-z10,10.1,9.4,12.0,phot,Naidu+22
GL-z12,12.2,9.0,6.0,phot,Naidu+22
NGDEEP-z12,11.9,8.4,3.0,phot,Adams+23
PRIMER-z10,10.2,9.1,8.0,phot,Donnan+23
PRIMER-z9,9.45,9.3,12.0,phot,Donnan+23
UHZ1,10.1,10.6,50.0,spec,Bogdan+23
UNCOVER-z12,12.39,8.3,2.5,phot,UNCOVER
UNCOVER-z10,10.17,9.2,10.0,spec,UNCOVER
UNCOVER-45924,9.51,9.4,15.0,spec,UNCOVER
GLASS-z12,12.11,8.5,3.0,spec,GLASS
GLASS-z10,10.42,8.9,7.0,spec,GLASS
GHZ2/GLASS-z12,12.34,8.6,4.0,spec,Castellano+23
GHZ1/GLASS-z10,10.6,9.0,8.0,spec,Castellano+23
EGS-45693,7.89,9.8,25.0,spec,CEERS
EGS-23288,8.15,9.5,18.0,spec,CEERS
EGS-31322,7.62,9.7,22.0,spec,CEERS
SMACS-z8a,8.5,9.2,12.0,spec,ERO
SMACS-z7a,7.66,9.4,16.0,spec,ERO
SMACS-z7b,7.88,9.1,10.0,spec,ERO
A2744-z7,7.15,9.6,20.0,spec,UNCOVER
A2744-z8,8.22,9.3,14.0,spec,UNCOVER
JADES-6291,6.05,9.4,15.0,spec,JADES
JADES-6841,6.23,9.2,12.0,spec,JADES
CEERS-6145,6.68,9.5,18.0,spec,CEERS
CEERS-5827,6.12,9.3,14.0,spec,CEERS
