Molecule,r_nm,D_m2s,Solvent,T_K,Reference,log_r,log_D,Type,D_r
H2,0.14,4.5e-09,Water,298,CRC,-0.8538719643217619,-8.346787486224656,Gas,6.3e-19
He,0.13,6.28e-09,Water,298,CRC,-0.8860566476931632,-8.202040356262804,Gas,8.164e-19
H2O,0.14,2.3e-09,Water,298,Mills 1973,-0.8538719643217619,-8.638272163982407,Other,3.2200000000000005e-19
D2O,0.14,1.87e-09,Water,298,Mills 1973,-0.8538719643217619,-8.7281583934635,Other,2.6180000000000002e-19
O2,0.17,2.1e-09,Water,298,CRC,-0.769551078621726,-8.67778070526608,Gas,3.570000000000001e-19
N2,0.18,1.88e-09,Water,298,CRC,-0.744727494896694,-8.72584215073632,Gas,3.384e-19
CO2,0.23,1.91e-09,Water,298,CRC,-0.638272163982407,-8.718966632752272,Gas,4.393e-19
NH3,0.16,1.64e-09,Water,298,CRC,-0.7958800173440752,-8.785156151952302,Gas,2.624e-19
H2S,0.19,1.41e-09,Water,298,CRC,-0.721246399047171,-8.85078088734462,Gas,2.6790000000000003e-19
NO,0.16,2.6e-09,Water,298,CRC,-0.7958800173440752,-8.585026652029182,Gas,4.1600000000000004e-19
Ar,0.19,2e-09,Water,298,CRC,-0.721246399047171,-8.698970004336019,Gas,3.8000000000000005e-19
CH4,0.19,1.49e-09,Water,298,Witherspoon 1965,-0.721246399047171,-8.826813731587725,Gas,2.831e-19
C2H6,0.22,1.2e-09,Water,298,Witherspoon 1965,-0.6575773191777937,-8.920818753952375,Gas,2.6400000000000005e-19
C3H8,0.25,9.7e-10,Water,298,Witherspoon 1965,-0.6020599913279624,-9.013228265733755,Gas,2.425e-19
Methanol,0.19,1.28e-09,Water,298,CRC,-0.721246399047171,-8.892790030352131,Alcohol,2.4320000000000003e-19
Ethanol,0.22,1e-09,Water,298,CRC,-0.6575773191777937,-9.0,Alcohol,2.2000000000000003e-19
1-Propanol,0.26,8.7e-10,Water,298,CRC,-0.585026652029182,-9.060480747381382,Alcohol,2.262e-19
1-Butanol,0.29,7.7e-10,Water,298,CRC,-0.5376020021010439,-9.113509274827518,Alcohol,2.233e-19
1-Pentanol,0.32,6.9e-10,Water,298,CRC,-0.494850021680094,-9.161150909262744,Alcohol,2.208e-19
1-Hexanol,0.35,6e-10,Water,298,CRC,-0.4559319556497244,-9.221848749616356,Alcohol,2.1e-19
Glycerol,0.31,7.2e-10,Water,298,CRC,-0.5086383061657274,-9.142667503568731,Alcohol,2.232e-19
Ethylene glycol,0.23,1.16e-09,Water,298,CRC,-0.638272163982407,-8.935542010773082,Alcohol,2.668e-19
Formic acid,0.2,1.5e-09,Water,298,CRC,-0.6989700043360187,-8.823908740944319,Other,3.0000000000000004e-19
Acetic acid,0.23,1.21e-09,Water,298,CRC,-0.638272163982407,-8.91721462968355,Other,2.7830000000000004e-19
Propionic acid,0.26,1.01e-09,Water,298,CRC,-0.585026652029182,-8.995678626217357,Other,2.626e-19
Butyric acid,0.29,9.1e-10,Water,298,CRC,-0.5376020021010439,-9.040958607678906,Other,2.639e-19
Glucose,0.36,6.7e-10,Water,298,Gladden 1953,-0.44369749923271273,-9.173925197299173,Sugar,2.4119999999999997e-19
Fructose,0.36,6.9e-10,Water,298,Gladden 1953,-0.44369749923271273,-9.161150909262744,Sugar,2.484e-19
Sucrose,0.47,5.2e-10,Water,298,Gosting 1953,-0.3279021420642826,-9.2839966563652,Sugar,2.444e-19
Maltose,0.47,5.1e-10,Water,298,CRC,-0.3279021420642826,-9.292429823902063,Sugar,2.397e-19
Raffinose,0.58,4.3e-10,Water,298,Gosting 1953,-0.23657200643706275,-9.366531544420413,Sugar,2.494e-19
Cyclodextrin-α,0.65,3.2e-10,Water,298,CRC,-0.18708664335714442,-9.494850021680094,Sugar,2.0800000000000002e-19
